frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
55.18,-1.62,-2.41,-1.61,-2.41,2.41,1.53,2.56,0.80,0.80,0.80
55.74,-1.64,-2.52,-1.61,-2.49,2.49,1.61,2.62,0.86,0.88,0.89
56.29,-1.62,-2.60,-1.61,-2.56,2.56,1.68,2.68,0.95,0.95,0.99
56.86,-1.62,-2.65,-1.60,-2.62,2.62,1.76,2.74,1.01,1.03,1.03
57.42,-1.61,-2.72,-1.59,-2.68,2.68,1.83,2.80,1.06,1.09,1.10
58.00,-1.57,-2.74,-1.57,-2.73,2.73,1.91,2.85,1.16,1.16,1.17
58.58,-1.57,-2.78,-1.55,-2.77,2.77,2.00,2.89,1.21,1.22,1.22
59.16,-1.53,-2.80,-1.53,-2.81,2.81,2.08,2.93,1.28,1.28,1.27
59.76,-1.52,-2.84,-1.51,-2.84,2.84,2.16,2.97,1.33,1.33,1.32
60.35,-1.49,-2.86,-1.49,-2.87,2.87,2.25,3.00,1.39,1.38,1.38
60.96,-1.47,-2.87,-1.47,-2.90,2.90,2.34,3.03,1.44,1.43,1.40
61.57,-1.44,-2.88,-1.45,-2.92,2.92,2.42,3.05,1.49,1.48,1.45
62.18,-1.44,-2.95,-1.43,-2.95,2.95,2.51,3.07,1.51,1.52,1.51
62.80,-1.40,-2.97,-1.41,-2.98,2.98,2.60,3.08,1.58,1.56,1.58
63.43,-1.40,-3.00,-1.41,-3.01,3.01,2.68,3.09,1.61,1.60,1.61
64.07,-1.40,-3.05,-1.40,-3.03,3.03,2.77,3.09,1.64,1.63,1.65
64.71,-1.40,-3.07,-1.40,-3.06,3.06,2.85,3.09,1.67,1.66,1.67
65.35,-1.40,-3.09,-1.41,-3.09,3.09,2.93,3.08,1.70,1.68,1.70
66.01,-1.40,-3.09,-1.42,-3.12,3.12,3.00,3.06,1.72,1.70,1.70
66.67,-1.40,-3.10,-1.43,-3.14,3.14,3.07,3.05,1.75,1.71,1.71
67.33,-1.44,-3.16,-1.44,-3.16,3.16,3.14,3.02,1.73,1.72,1.73
68.01,-1.44,-3.18,-1.46,-3.18,3.18,3.19,3.00,1.75,1.72,1.75
68.69,-1.49,-3.22,-1.47,-3.19,3.19,3.24,2.97,1.71,1.72,1.74
69.37,-1.52,-3.23,-1.49,-3.19,3.19,3.28,2.93,1.68,1.70,1.72
70.07,-1.53,-3.21,-1.50,-3.19,3.19,3.32,2.90,1.66,1.69,1.69
70.77,-1.53,-3.19,-1.51,-3.18,3.18,3.34,2.86,1.66,1.67,1.66
71.48,-1.53,-3.17,-1.51,-3.17,3.17,3.36,2.82,1.65,1.66,1.65
72.19,-1.53,-3.16,-1.51,-3.16,3.16,3.36,2.78,1.63,1.65,1.64
72.91,-1.53,-3.14,-1.51,-3.14,3.14,3.36,2.73,1.61,1.63,1.61
73.64,-1.53,-3.11,-1.50,-3.11,3.11,3.34,2.69,1.59,1.61,1.59
74.38,-1.49,-3.06,-1.48,-3.07,3.07,3.32,2.64,1.59,1.59,1.57
75.12,-1.48,-3.02,-1.46,-3.03,3.03,3.28,2.59,1.55,1.57,1.55
75.87,-1.44,-2.96,-1.44,-2.98,2.98,3.24,2.54,1.55,1.54,1.53
76.63,-1.42,-2.94,-1.42,-2.93,2.93,3.19,2.50,1.52,1.51,1.52
77.40,-1.40,-2.92,-1.39,-2.88,2.88,3.14,2.45,1.49,1.49,1.52
78.17,-1.36,-2.87,-1.37,-2.83,2.83,3.08,2.40,1.48,1.46,1.52
78.95,-1.35,-2.82,-1.35,-2.78,2.78,3.01,2.35,1.44,1.44,1.48
79.74,-1.31,-2.72,-1.32,-2.73,2.73,2.93,2.31,1.42,1.40,1.42
80.54,-1.31,-2.63,-1.31,-2.68,2.68,2.86,2.26,1.37,1.37,1.33
81.35,-1.27,-2.56,-1.29,-2.62,2.62,2.78,2.22,1.36,1.33,1.30
82.16,-1.27,-2.53,-1.28,-2.57,2.57,2.70,2.18,1.30,1.29,1.27
82.98,-1.27,-2.50,-1.27,-2.51,2.51,2.62,2.13,1.25,1.24,1.23
83.81,-1.27,-2.47,-1.26,-2.46,2.46,2.53,2.09,1.19,1.20,1.20
84.65,-1.27,-2.44,-1.26,-2.41,2.41,2.45,2.06,1.14,1.14,1.18
85.50,-1.27,-2.39,-1.26,-2.35,2.35,2.37,2.02,1.09,1.09,1.12
86.35,-1.27,-2.33,-1.27,-2.31,2.31,2.29,1.98,1.04,1.04,1.06
87.22,-1.27,-2.26,-1.27,-2.26,2.26,2.20,1.95,1.00,0.99,1.00
88.09,-1.27,-2.21,-1.28,-2.22,2.22,2.12,1.91,0.95,0.94,0.94
88.97,-1.31,-2.17,-1.29,-2.18,2.18,2.05,1.88,0.88,0.89,0.87
89.86,-1.31,-2.13,-1.30,-2.15,2.15,1.97,1.85,0.84,0.85,0.82
90.76,-1.31,-2.07,-1.31,-2.11,2.11,1.90,1.82,0.80,0.80,0.76
91.66,-1.31,-2.04,-1.32,-2.06,2.06,1.82,1.79,0.76,0.75,0.74
92.58,-1.34,-2.02,-1.33,-2.02,2.02,1.75,1.77,0.69,0.70,0.68
93.51,-1.36,-2.01,-1.34,-1.98,1.98,1.69,1.74,0.63,0.65,0.65
94.44,-1.36,-1.97,-1.35,-1.95,1.95,1.62,1.72,0.59,0.60,0.62
95.39,-1.36,-1.92,-1.36,-1.91,1.91,1.56,1.70,0.56,0.55,0.57
96.34,-1.36,-1.89,-1.37,-1.88,1.88,1.50,1.68,0.52,0.51,0.53
97.30,-1.38,-1.86,-1.38,-1.84,1.84,1.44,1.66,0.47,0.47,0.48
98.28,-1.40,-1.83,-1.39,-1.81,1.81,1.38,1.64,0.41,0.42,0.43
99.26,-1.40,-1.77,-1.39,-1.77,1.77,1.33,1.63,0.38,0.38,0.37
100.25,-1.40,-1.72,-1.40,-1.74,1.74,1.28,1.61,0.34,0.33,0.32
101.25,-1.40,-1.67,-1.41,-1.70,1.70,1.23,1.60,0.31,0.29,0.28
102.27,-1.44,-1.67,-1.42,-1.67,1.67,1.18,1.58,0.23,0.24,0.24
103.29,-1.44,-1.64,-1.43,-1.63,1.63,1.13,1.57,0.20,0.20,0.21
104.32,-1.44,-1.59,-1.44,-1.60,1.60,1.09,1.56,0.16,0.16,0.16
105.37,-1.44,-1.55,-1.45,-1.57,1.57,1.05,1.55,0.13,0.12,0.12
106.42,-1.49,-1.55,-1.47,-1.54,1.54,1.01,1.53,0.06,0.08,0.07
107.48,-1.49,-1.51,-1.48,-1.51,1.51,0.97,1.52,0.03,0.04,0.03
108.56,-1.49,-1.48,-1.49,-1.49,1.49,0.93,1.51,0.00,-0.00,-0.01
109.64,-1.49,-1.45,-1.50,-1.46,1.46,0.89,1.50,-0.02,-0.04,-0.04
110.74,-1.53,-1.46,-1.51,-1.44,1.44,0.86,1.49,-0.09,-0.07,-0.07
111.85,-1.53,-1.42,-1.52,-1.42,1.42,0.82,1.48,-0.11,-0.11,-0.11
112.97,-1.53,-1.39,-1.53,-1.39,1.39,0.79,1.47,-0.13,-0.14,-0.14
114.10,-1.54,-1.36,-1.54,-1.37,1.37,0.76,1.46,-0.17,-0.18,-0.17
115.24,-1.57,-1.35,-1.55,-1.34,1.34,0.73,1.45,-0.23,-0.21,-0.21
116.39,-1.57,-1.32,-1.56,-1.31,1.31,0.70,1.44,-0.25,-0.25,-0.24
117.55,-1.57,-1.29,-1.57,-1.29,1.29,0.68,1.42,-0.28,-0.28,-0.28
118.73,-1.57,-1.25,-1.58,-1.26,1.26,0.65,1.41,-0.30,-0.32,-0.32
119.92,-1.60,-1.24,-1.59,-1.24,1.24,0.63,1.40,-0.36,-0.36,-0.35
121.12,-1.62,-1.23,-1.60,-1.21,1.21,0.60,1.38,-0.41,-0.39,-0.39
122.33,-1.62,-1.19,-1.61,-1.18,1.18,0.58,1.36,-0.43,-0.43,-0.43
123.55,-1.62,-1.14,-1.62,-1.15,1.15,0.56,1.35,-0.47,-0.47,-0.47
124.79,-1.62,-1.11,-1.62,-1.12,1.12,0.53,1.33,-0.49,-0.50,-0.51
126.03,-1.62,-1.07,-1.63,-1.09,1.09,0.51,1.31,-0.52,-0.54,-0.54
127.29,-1.64,-1.06,-1.63,-1.06,1.06,0.49,1.28,-0.57,-0.57,-0.58
128.57,-1.66,-1.04,-1.64,-1.03,1.03,0.47,1.26,-0.62,-0.61,-0.61
129.85,-1.66,-1.02,-1.65,-1.01,1.01,0.45,1.24,-0.65,-0.64,-0.63
131.15,-1.66,-0.99,-1.65,-0.98,0.98,0.44,1.21,-0.67,-0.67,-0.67
132.46,-1.66,-0.96,-1.66,-0.96,0.96,0.42,1.19,-0.70,-0.70,-0.70
133.79,-1.66,-0.92,-1.66,-0.93,0.93,0.40,1.16,-0.73,-0.73,-0.73
135.12,-1.66,-0.89,-1.66,-0.90,0.90,0.38,1.13,-0.75,-0.76,-0.76
136.48,-1.66,-0.86,-1.67,-0.88,0.88,0.37,1.10,-0.78,-0.79,-0.79
137.84,-1.68,-0.85,-1.67,-0.86,0.86,0.35,1.07,-0.82,-0.81,-0.82
139.22,-1.70,-0.84,-1.68,-0.84,0.84,0.34,1.04,-0.86,-0.84,-0.85
140.61,-1.70,-0.82,-1.69,-0.81,0.81,0.32,1.01,-0.88,-0.88,-0.87
142.02,-1.70,-0.79,-1.69,-0.79,0.79,0.31,0.97,-0.91,-0.91,-0.90
143.44,-1.70,-0.77,-1.70,-0.76,0.76,0.29,0.94,-0.94,-0.94,-0.93
144.87,-1.70,-0.74,-1.71,-0.73,0.73,0.28,0.90,-0.96,-0.98,-0.96
146.32,-1.70,-0.70,-1.72,-0.71,0.71,0.27,0.87,-0.98,-1.01,-0.99
147.78,-1.71,-0.69,-1.73,-0.69,0.69,0.25,0.83,-1.02,-1.05,-1.02
149.26,-1.75,-0.68,-1.75,-0.67,0.67,0.24,0.80,-1.08,-1.08,-1.07
150.75,-1.79,-0.66,-1.75,-0.64,0.64,0.23,0.76,-1.14,-1.11,-1.12
152.26,-1.79,-0.61,-1.76,-0.62,0.62,0.22,0.73,-1.17,-1.14,-1.17
153.78,-1.79,-0.58,-1.77,-0.60,0.60,0.20,0.69,-1.19,-1.18,-1.21
155.32,-1.79,-0.55,-1.78,-0.57,0.57,0.19,0.66,-1.21,-1.21,-1.23
156.88,-1.79,-0.53,-1.79,-0.55,0.55,0.18,0.62,-1.23,-1.24,-1.25
158.44,-1.81,-0.52,-1.80,-0.53,0.53,0.17,0.58,-1.27,-1.26,-1.29
160.03,-1.81,-0.52,-1.80,-0.51,0.51,0.16,0.55,-1.29,-1.29,-1.29
161.63,-1.81,-0.51,-1.81,-0.49,0.49,0.15,0.51,-1.31,-1.32,-1.30
163.24,-1.81,-0.48,-1.81,-0.47,0.47,0.14,0.48,-1.33,-1.34,-1.33
164.88,-1.81,-0.45,-1.82,-0.45,0.45,0.13,0.44,-1.36,-1.37,-1.36
166.53,-1.81,-0.41,-1.82,-0.42,0.42,0.12,0.41,-1.39,-1.40,-1.40
168.19,-1.83,-0.41,-1.82,-0.39,0.39,0.11,0.37,-1.44,-1.43,-1.42
169.87,-1.83,-0.37,-1.82,-0.36,0.36,0.10,0.33,-1.47,-1.46,-1.45
171.57,-1.83,-0.34,-1.82,-0.32,0.32,0.09,0.30,-1.50,-1.50,-1.48
173.29,-1.83,-0.30,-1.83,-0.28,0.28,0.08,0.26,-1.54,-1.54,-1.53
175.02,-1.83,-0.26,-1.82,-0.24,0.24,0.07,0.23,-1.59,-1.59,-1.57
176.77,-1.83,-0.20,-1.82,-0.19,0.19,0.06,0.19,-1.64,-1.64,-1.62
178.54,-1.83,-0.13,-1.82,-0.13,0.13,0.05,0.16,-1.69,-1.69,-1.70
180.32,-1.83,-0.06,-1.82,-0.08,0.08,0.04,0.13,-1.75,-1.74,-1.76
182.13,-1.83,-0.02,-1.82,-0.02,0.02,0.03,0.09,-1.80,-1.80,-1.81
183.95,-1.82,0.03,-1.81,0.04,-0.04,0.02,0.06,-1.85,-1.85,-1.84
185.79,-1.81,0.09,-1.81,0.10,-0.10,0.02,0.02,-1.90,-1.91,-1.90
187.65,-1.81,0.15,-1.80,0.16,-0.16,0.01,-0.01,-1.96,-1.96,-1.96
189.52,-1.79,0.22,-1.80,0.21,-0.21,-0.00,-0.05,-2.00,-2.01,-2.00
191.42,-1.79,0.28,-1.79,0.27,-0.27,-0.01,-0.08,-2.05,-2.06,-2.06
193.33,-1.79,0.33,-1.79,0.32,-0.32,-0.02,-0.11,-2.10,-2.11,-2.12
195.27,-1.79,0.38,-1.78,0.37,-0.37,-0.03,-0.15,-2.15,-2.15,-2.17
197.22,-1.79,0.42,-1.78,0.41,-0.41,-0.04,-0.18,-2.19,-2.19,-2.21
199.19,-1.79,0.46,-1.77,0.45,-0.45,-0.05,-0.21,-2.23,-2.22,-2.24
201.18,-1.77,0.50,-1.77,0.49,-0.49,-0.05,-0.25,-2.25,-2.25,-2.26
203.19,-1.76,0.53,-1.76,0.52,-0.52,-0.06,-0.28,-2.28,-2.28,-2.28
205.23,-1.75,0.55,-1.76,0.55,-0.55,-0.07,-0.31,-2.30,-2.31,-2.29
207.28,-1.75,0.57,-1.75,0.58,-0.58,-0.08,-0.34,-2.32,-2.33,-2.31
209.35,-1.75,0.59,-1.74,0.60,-0.60,-0.09,-0.37,-2.34,-2.34,-2.34
211.44,-1.75,0.61,-1.74,0.62,-0.62,-0.10,-0.40,-2.36,-2.35,-2.36
213.56,-1.75,0.63,-1.73,0.63,-0.63,-0.11,-0.43,-2.38,-2.36,-2.38
215.69,-1.73,0.65,-1.72,0.65,-0.65,-0.11,-0.46,-2.38,-2.37,-2.38
217.85,-1.70,0.68,-1.71,0.67,-0.67,-0.12,-0.49,-2.36,-2.38,-2.37
220.03,-1.70,0.68,-1.70,0.68,-0.68,-0.13,-0.52,-2.37,-2.38,-2.37
222.23,-1.70,0.68,-1.69,0.69,-0.69,-0.14,-0.55,-2.39,-2.38,-2.38
224.45,-1.70,0.67,-1.68,0.70,-0.70,-0.15,-0.57,-2.40,-2.38,-2.37
226.70,-1.66,0.71,-1.67,0.71,-0.71,-0.16,-0.60,-2.36,-2.38,-2.36
228.96,-1.66,0.71,-1.66,0.71,-0.71,-0.17,-0.62,-2.37,-2.37,-2.37
231.25,-1.66,0.72,-1.65,0.71,-0.71,-0.18,-0.65,-2.37,-2.36,-2.38
233.57,-1.63,0.74,-1.63,0.71,-0.71,-0.19,-0.67,-2.34,-2.34,-2.36
235.90,-1.62,0.73,-1.62,0.71,-0.71,-0.20,-0.69,-2.32,-2.33,-2.35
238.26,-1.62,0.71,-1.61,0.70,-0.70,-0.20,-0.71,-2.32,-2.32,-2.32
240.64,-1.62,0.69,-1.60,0.70,-0.70,-0.21,-0.72,-2.31,-2.30,-2.31
243.05,-1.61,0.68,-1.59,0.69,-0.69,-0.22,-0.74,-2.30,-2.29,-2.28
245.48,-1.57,0.70,-1.58,0.68,-0.68,-0.23,-0.76,-2.25,-2.27,-2.27
247.93,-1.57,0.67,-1.57,0.68,-0.68,-0.24,-0.77,-2.24,-2.25,-2.23
250.41,-1.57,0.64,-1.57,0.67,-0.67,-0.25,-0.78,-2.23,-2.23,-2.21
252.92,-1.57,0.64,-1.56,0.66,-0.66,-0.26,-0.79,-2.22,-2.22,-2.20
255.45,-1.57,0.63,-1.55,0.65,-0.65,-0.27,-0.80,-2.21,-2.20,-2.20
258.00,-1.55,0.66,-1.54,0.64,-0.64,-0.28,-0.81,-2.18,-2.18,-2.20
260.58,-1.54,0.64,-1.54,0.63,-0.63,-0.29,-0.81,-2.16,-2.17,-2.18
263.19,-1.53,0.63,-1.54,0.62,-0.62,-0.30,-0.82,-2.15,-2.16,-2.15
265.82,-1.53,0.61,-1.53,0.62,-0.62,-0.31,-0.82,-2.14,-2.15,-2.13
268.48,-1.53,0.61,-1.53,0.61,-0.61,-0.32,-0.82,-2.14,-2.14,-2.14
271.16,-1.53,0.62,-1.53,0.61,-0.61,-0.33,-0.82,-2.13,-2.13,-2.14
273.87,-1.53,0.62,-1.53,0.60,-0.60,-0.34,-0.82,-2.13,-2.13,-2.15
276.61,-1.53,0.60,-1.53,0.60,-0.60,-0.35,-0.82,-2.13,-2.13,-2.13
279.38,-1.53,0.60,-1.52,0.61,-0.61,-0.37,-0.82,-2.13,-2.13,-2.12
282.17,-1.53,0.59,-1.53,0.61,-0.61,-0.38,-0.82,-2.13,-2.13,-2.11
284.99,-1.53,0.60,-1.53,0.61,-0.61,-0.39,-0.82,-2.14,-2.14,-2.13
287.84,-1.53,0.60,-1.53,0.62,-0.62,-0.40,-0.81,-2.14,-2.14,-2.13
290.72,-1.53,0.63,-1.53,0.63,-0.63,-0.41,-0.81,-2.15,-2.15,-2.15
293.63,-1.53,0.64,-1.52,0.64,-0.64,-0.42,-0.81,-2.16,-2.16,-2.17
296.57,-1.53,0.66,-1.52,0.65,-0.65,-0.43,-0.80,-2.18,-2.17,-2.19
299.53,-1.53,0.67,-1.52,0.66,-0.66,-0.44,-0.80,-2.19,-2.19,-2.19
302.53,-1.53,0.68,-1.52,0.68,-0.68,-0.46,-0.79,-2.21,-2.20,-2.20
