frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
34.92,2.12,-3.01,2.20,-2.91,2.91,5.03,5.11,5.13
35.27,2.16,-2.92,2.21,-2.89,2.89,5.05,5.10,5.08
35.62,2.22,-2.85,2.22,-2.86,2.86,5.08,5.08,5.07
35.97,2.28,-2.80,2.23,-2.84,2.84,5.11,5.06,5.08
36.33,2.28,-2.78,2.24,-2.81,2.81,5.09,5.05,5.06
36.70,2.28,-2.73,2.25,-2.78,2.78,5.06,5.03,5.01
37.06,2.28,-2.74,2.26,-2.76,2.76,5.04,5.02,5.02
37.43,2.28,-2.73,2.27,-2.74,2.74,5.01,5.00,5.01
37.81,2.28,-2.72,2.28,-2.71,2.71,4.99,4.99,4.99
38.19,2.28,-2.67,2.28,-2.70,2.70,4.97,4.98,4.95
38.57,2.28,-2.71,2.29,-2.68,2.68,4.96,4.97,4.99
38.95,2.28,-2.66,2.29,-2.67,2.67,4.95,4.96,4.94
39.34,2.28,-2.65,2.28,-2.66,2.66,4.94,4.94,4.92
39.74,2.28,-2.69,2.28,-2.65,2.65,4.93,4.93,4.97
40.14,2.28,-2.65,2.29,-2.63,2.63,4.91,4.92,4.93
40.54,2.28,-2.63,2.30,-2.61,2.61,4.89,4.91,4.91
40.94,2.28,-2.59,2.30,-2.60,2.60,4.87,4.89,4.87
41.35,2.28,-2.61,2.29,-2.59,2.59,4.86,4.88,4.89
41.76,2.28,-2.61,2.28,-2.58,2.58,4.86,4.87,4.89
42.18,2.28,-2.59,2.27,-2.58,2.58,4.86,4.85,4.87
42.60,2.28,-2.55,2.27,-2.57,2.57,4.85,4.84,4.82
43.03,2.28,-2.53,2.26,-2.56,2.56,4.84,4.82,4.81
43.46,2.31,-2.49,2.25,-2.56,2.56,4.87,4.81,4.80
43.90,2.34,-2.46,2.22,-2.57,2.57,4.91,4.79,4.80
44.33,2.24,-2.53,2.20,-2.58,2.58,4.82,4.78,4.77
44.78,2.09,-2.67,2.18,-2.59,2.59,4.68,4.76,4.76
45.23,2.03,-2.72,2.15,-2.59,2.59,4.62,4.75,4.75
45.68,2.06,-2.67,2.13,-2.60,2.60,4.66,4.73,4.73
46.13,2.09,-2.63,2.10,-2.62,2.62,4.71,4.71,4.72
46.60,2.12,-2.59,2.06,-2.64,2.64,4.76,4.69,4.71
47.06,2.13,-2.57,2.01,-2.66,2.66,4.79,4.68,4.69
47.53,1.98,-2.70,1.97,-2.69,2.69,4.67,4.66,4.68
48.01,1.84,-2.80,1.93,-2.71,2.71,4.55,4.64,4.64
48.49,1.90,-2.72,1.89,-2.74,2.74,4.63,4.62,4.62
48.97,1.96,-2.64,1.85,-2.75,2.75,4.71,4.60,4.60
49.46,1.88,-2.69,1.83,-2.76,2.76,4.64,4.59,4.57
49.96,1.80,-2.76,1.80,-2.77,2.77,4.57,4.57,4.55
50.46,1.71,-2.83,1.77,-2.78,2.78,4.49,4.55,4.54
50.96,1.63,-2.89,1.74,-2.79,2.79,4.42,4.53,4.52
51.47,1.65,-2.87,1.71,-2.80,2.80,4.45,4.51,4.52
51.99,1.68,-2.82,1.68,-2.81,2.81,4.48,4.49,4.50
52.51,1.68,-2.80,1.67,-2.80,2.80,4.48,4.47,4.48
53.03,1.68,-2.79,1.68,-2.78,2.78,4.46,4.45,4.46
53.56,1.68,-2.77,1.68,-2.76,2.76,4.44,4.44,4.44
54.10,1.68,-2.75,1.67,-2.76,2.76,4.43,4.43,4.42
54.64,1.68,-2.73,1.67,-2.74,2.74,4.42,4.41,4.40
55.18,1.68,-2.71,1.67,-2.72,2.72,4.40,4.40,4.38
55.74,1.68,-2.68,1.68,-2.70,2.70,4.38,4.38,4.36
56.29,1.68,-2.67,1.69,-2.68,2.68,4.36,4.37,4.35
56.86,1.68,-2.67,1.69,-2.67,2.67,4.34,4.35,4.35
57.42,1.71,-2.64,1.68,-2.66,2.66,4.37,4.34,4.35
58.00,1.76,-2.58,1.67,-2.65,2.65,4.41,4.32,4.34
58.58,1.69,-2.63,1.66,-2.65,2.65,4.34,4.31,4.32
59.16,1.63,-2.68,1.65,-2.65,2.65,4.27,4.30,4.31
59.76,1.59,-2.68,1.64,-2.65,2.65,4.24,4.28,4.27
60.35,1.58,-2.70,1.62,-2.65,2.65,4.23,4.27,4.28
60.96,1.58,-2.68,1.59,-2.66,2.66,4.24,4.25,4.26
61.57,1.61,-2.62,1.57,-2.67,2.67,4.28,4.24,4.23
62.18,1.60,-2.62,1.55,-2.67,2.67,4.27,4.22,4.22
62.80,1.51,-2.69,1.53,-2.68,2.68,4.19,4.21,4.20
63.43,1.49,-2.69,1.51,-2.68,2.68,4.17,4.19,4.18
64.07,1.51,-2.68,1.49,-2.69,2.69,4.20,4.17,4.19
64.71,1.46,-2.68,1.46,-2.69,2.69,4.15,4.16,4.14
65.35,1.42,-2.74,1.44,-2.70,2.70,4.12,4.14,4.16
66.01,1.38,-2.73,1.42,-2.70,2.70,4.08,4.13,4.10
66.67,1.38,-2.75,1.40,-2.71,2.71,4.08,4.11,4.13
67.33,1.40,-2.69,1.38,-2.71,2.71,4.11,4.09,4.09
68.01,1.43,-2.65,1.36,-2.71,2.71,4.14,4.07,4.08
68.69,1.38,-2.69,1.34,-2.72,2.72,4.10,4.06,4.06
69.37,1.35,-2.70,1.33,-2.71,2.71,4.06,4.04,4.04
70.07,1.33,-2.69,1.32,-2.70,2.70,4.03,4.02,4.02
70.77,1.23,-2.77,1.30,-2.70,2.70,3.93,4.00,4.00
71.48,1.24,-2.74,1.29,-2.69,2.69,3.93,3.98,3.98
72.19,1.28,-2.69,1.29,-2.68,2.68,3.96,3.97,3.97
72.91,1.28,-2.65,1.28,-2.66,2.66,3.94,3.95,3.93
73.64,1.28,-2.65,1.28,-2.65,2.65,3.93,3.93,3.92
74.38,1.28,-2.63,1.27,-2.64,2.64,3.92,3.91,3.91
75.12,1.28,-2.60,1.27,-2.62,2.62,3.90,3.89,3.88
75.87,1.28,-2.60,1.27,-2.60,2.60,3.88,3.87,3.88
76.63,1.28,-2.57,1.27,-2.58,2.58,3.86,3.85,3.85
77.40,1.28,-2.55,1.27,-2.55,2.55,3.83,3.82,3.83
78.17,1.28,-2.52,1.28,-2.52,2.52,3.80,3.80,3.80
78.95,1.28,-2.49,1.28,-2.49,2.49,3.77,3.78,3.77
79.74,1.28,-2.48,1.28,-2.47,2.47,3.75,3.75,3.75
80.54,1.28,-2.46,1.28,-2.44,2.44,3.72,3.72,3.73
81.35,1.28,-2.41,1.28,-2.41,2.41,3.69,3.69,3.69
82.16,1.28,-2.37,1.28,-2.38,2.38,3.66,3.65,3.65
82.98,1.27,-2.35,1.28,-2.34,2.34,3.61,3.62,3.62
83.81,1.27,-2.32,1.28,-2.31,2.31,3.57,3.58,3.59
84.65,1.28,-2.27,1.28,-2.27,2.27,3.55,3.55,3.54
85.50,1.28,-2.23,1.28,-2.23,2.23,3.51,3.51,3.51
86.35,1.28,-2.21,1.28,-2.20,2.20,3.48,3.47,3.49
87.22,1.28,-2.14,1.28,-2.16,2.16,3.44,3.44,3.42
88.09,1.28,-2.12,1.28,-2.13,2.13,3.40,3.40,3.40
88.97,1.28,-2.07,1.28,-2.09,2.09,3.37,3.37,3.35
89.86,1.28,-2.05,1.28,-2.06,2.06,3.34,3.34,3.33
90.76,1.28,-2.02,1.29,-2.02,2.02,3.30,3.31,3.30
91.66,1.28,-1.98,1.30,-1.98,1.98,3.26,3.28,3.25
92.58,1.28,-1.96,1.29,-1.95,1.95,3.23,3.24,3.24
93.51,1.28,-1.95,1.29,-1.92,1.92,3.20,3.21,3.23
94.44,1.28,-1.92,1.28,-1.90,1.90,3.17,3.17,3.20
95.39,1.28,-1.88,1.27,-1.87,1.87,3.15,3.14,3.15
96.34,1.28,-1.85,1.25,-1.85,1.85,3.13,3.10,3.13
97.30,1.27,-1.83,1.24,-1.83,1.83,3.10,3.06,3.10
98.28,1.26,-1.78,1.22,-1.81,1.81,3.07,3.03,3.04
99.26,1.25,-1.73,1.20,-1.79,1.79,3.04,2.99,2.98
100.25,1.22,-1.72,1.17,-1.78,1.78,3.00,2.95,2.94
101.25,1.13,-1.77,1.15,-1.77,1.77,2.90,2.92,2.90
102.27,1.01,-1.84,1.12,-1.76,1.76,2.77,2.88,2.85
103.29,1.05,-1.80,1.09,-1.76,1.76,2.81,2.85,2.84
104.32,1.07,-1.75,1.06,-1.76,1.76,2.83,2.83,2.81
105.37,1.04,-1.75,1.03,-1.77,1.77,2.81,2.80,2.78
106.42,1.02,-1.78,1.01,-1.78,1.78,2.80,2.79,2.80
107.48,1.00,-1.76,0.98,-1.79,1.79,2.79,2.77,2.76
108.56,0.97,-1.79,0.96,-1.80,1.80,2.77,2.76,2.76
109.64,0.95,-1.82,0.94,-1.81,1.81,2.76,2.75,2.77
110.74,0.93,-1.85,0.93,-1.82,1.82,2.75,2.75,2.78
111.85,0.91,-1.86,0.93,-1.82,1.82,2.73,2.75,2.77
112.97,0.90,-1.87,0.93,-1.83,1.83,2.72,2.76,2.77
114.10,0.90,-1.85,0.93,-1.85,1.85,2.75,2.77,2.75
115.24,0.90,-1.89,0.91,-1.89,1.89,2.79,2.80,2.78
116.39,0.90,-1.89,0.90,-1.93,1.93,2.83,2.84,2.79
117.55,0.90,-1.92,0.89,-1.98,1.98,2.88,2.87,2.82
118.73,0.91,-1.90,0.89,-2.02,2.02,2.93,2.91,2.81
119.92,0.91,-1.97,0.88,-2.07,2.07,2.97,2.95,2.88
121.12,0.92,-2.01,0.88,-2.10,2.10,3.02,2.97,2.93
122.33,0.93,-2.10,0.87,-2.12,2.12,3.05,2.99,3.03
123.55,0.94,-2.11,0.87,-2.13,2.13,3.06,2.99,3.04
124.79,0.83,-2.30,0.86,-2.12,2.12,2.95,2.99,3.13
126.03,0.73,-2.41,0.86,-2.11,2.11,2.84,2.97,3.13
127.29,0.81,-2.31,0.86,-2.09,2.09,2.90,2.94,3.12
128.57,0.86,-2.19,0.86,-2.05,2.05,2.91,2.91,3.05
129.85,0.87,-2.05,0.87,-2.01,2.01,2.88,2.88,2.92
131.15,0.87,-1.98,0.88,-1.97,1.97,2.83,2.84,2.85
132.46,0.88,-1.86,0.89,-1.93,1.93,2.81,2.81,2.74
133.79,0.88,-1.78,0.89,-1.90,1.90,2.77,2.79,2.65
135.12,0.89,-1.74,0.89,-1.89,1.89,2.77,2.78,2.62
136.48,0.89,-1.73,0.89,-1.89,1.89,2.78,2.78,2.62
137.84,0.89,-1.78,0.89,-1.92,1.92,2.81,2.80,2.67
139.22,0.94,-1.81,0.88,-1.96,1.96,2.90,2.85,2.75
140.61,1.00,-1.90,0.87,-2.04,2.04,3.04,2.91,2.89
142.02,0.95,-2.06,0.85,-2.14,2.14,3.09,2.99,3.00
143.44,0.84,-2.30,0.84,-2.26,2.26,3.09,3.09,3.14
144.87,0.80,-2.45,0.82,-2.38,2.38,3.18,3.20,3.25
146.32,0.77,-2.61,0.81,-2.51,2.51,3.28,3.32,3.38
147.78,0.65,-2.84,0.79,-2.65,2.65,3.30,3.44,3.49
149.26,0.63,-2.98,0.76,-2.79,2.79,3.42,3.55,3.61
150.75,0.69,-3.02,0.72,-2.94,2.94,3.63,3.66,3.71
152.26,0.70,-3.09,0.68,-3.09,3.09,3.79,3.77,3.79
153.78,0.70,-3.18,0.63,-3.23,3.23,3.93,3.86,3.88
155.32,0.70,-3.25,0.59,-3.36,3.36,4.06,3.96,3.94
156.88,0.70,-3.33,0.56,-3.49,3.49,4.19,4.04,4.03
158.44,0.61,-3.49,0.53,-3.60,3.60,4.21,4.13,4.10
160.03,0.55,-3.63,0.51,-3.70,3.70,4.25,4.21,4.18
161.63,0.46,-3.79,0.49,-3.80,3.80,4.26,4.29,4.25
163.24,0.35,-4.00,0.47,-3.89,3.89,4.24,4.37,4.35
164.88,0.34,-4.10,0.46,-3.98,3.98,4.32,4.43,4.44
166.53,0.27,-4.23,0.44,-4.06,4.06,4.33,4.49,4.50
168.19,0.38,-4.21,0.42,-4.13,4.13,4.51,4.55,4.59
169.87,0.47,-4.17,0.41,-4.19,4.19,4.66,4.60,4.64
171.57,0.47,-4.25,0.41,-4.24,4.24,4.71,4.64,4.71
173.29,0.46,-4.29,0.41,-4.27,4.27,4.73,4.68,4.75
175.02,0.45,-4.31,0.42,-4.30,4.30,4.75,4.72,4.76
176.77,0.45,-4.32,0.43,-4.32,4.32,4.77,4.75,4.76
178.54,0.45,-4.32,0.44,-4.35,4.35,4.79,4.79,4.77
180.32,0.45,-4.31,0.45,-4.37,4.37,4.81,4.82,4.75
182.13,0.46,-4.32,0.46,-4.39,4.39,4.85,4.84,4.78
183.95,0.47,-4.36,0.45,-4.42,4.42,4.89,4.87,4.82
185.79,0.48,-4.39,0.46,-4.45,4.45,4.93,4.91,4.87
187.65,0.50,-4.43,0.46,-4.49,4.49,4.99,4.95,4.93
189.52,0.51,-4.49,0.46,-4.53,4.53,5.04,4.99,4.99
191.42,0.40,-4.62,0.47,-4.57,4.57,4.97,5.04,5.02
193.33,0.33,-4.77,0.47,-4.62,4.62,4.95,5.09,5.10
195.27,0.41,-4.76,0.47,-4.68,4.68,5.08,5.15,5.17
197.22,0.47,-4.74,0.47,-4.73,4.73,5.20,5.20,5.21
199.19,0.48,-4.77,0.47,-4.79,4.79,5.26,5.25,5.25
201.18,0.49,-4.79,0.47,-4.83,4.83,5.32,5.30,5.28
203.19,0.54,-4.84,0.47,-4.87,4.87,5.41,5.34,5.38
205.23,0.61,-4.81,0.47,-4.91,4.91,5.51,5.37,5.42
207.28,0.50,-4.98,0.46,-4.95,4.95,5.45,5.40,5.48
209.35,0.40,-5.07,0.44,-4.99,4.99,5.39,5.43,5.47
211.44,0.39,-5.10,0.42,-5.03,5.03,5.42,5.46,5.49
213.56,0.38,-5.10,0.41,-5.07,5.07,5.45,5.48,5.48
215.69,0.38,-5.09,0.40,-5.10,5.10,5.48,5.50,5.47
217.85,0.38,-5.10,0.38,-5.14,5.14,5.51,5.52,5.48
220.03,0.37,-5.14,0.37,-5.17,5.17,5.54,5.54,5.51
222.23,0.37,-5.15,0.35,-5.22,5.22,5.59,5.57,5.52
224.45,0.37,-5.22,0.33,-5.27,5.27,5.64,5.59,5.59
226.70,0.22,-5.40,0.30,-5.32,5.32,5.54,5.62,5.61
228.96,0.14,-5.52,0.28,-5.38,5.38,5.51,5.66,5.66
231.25,0.25,-5.45,0.27,-5.43,5.43,5.67,5.70,5.70
233.57,0.32,-5.44,0.26,-5.49,5.49,5.81,5.75,5.75
235.90,0.43,-5.35,0.25,-5.56,5.56,5.99,5.81,5.78
238.26,0.39,-5.49,0.24,-5.64,5.64,6.03,5.88,5.88
240.64,0.26,-5.68,0.24,-5.70,5.70,5.96,5.95,5.94
243.05,0.14,-5.87,0.24,-5.77,5.77,5.91,6.02,6.01
245.48,0.06,-6.00,0.23,-5.85,5.85,5.91,6.08,6.06
247.93,0.15,-5.96,0.23,-5.93,5.93,6.07,6.15,6.11
250.41,0.21,-6.00,0.22,-6.00,6.00,6.21,6.22,6.21
252.92,0.23,-6.06,0.22,-6.06,6.06,6.29,6.28,6.29
255.45,0.24,-6.10,0.20,-6.14,6.14,6.38,6.34,6.34
258.00,0.25,-6.19,0.17,-6.21,6.21,6.46,6.39,6.43
260.58,0.26,-6.22,0.16,-6.27,6.27,6.53,6.42,6.48
263.19,0.26,-6.24,0.16,-6.29,6.29,6.55,6.45,6.50
265.82,0.26,-6.23,0.17,-6.29,6.29,6.55,6.46,6.49
268.48,0.05,-6.46,0.19,-6.28,6.28,6.33,6.47,6.51
271.16,0.04,-6.47,0.20,-6.27,6.27,6.31,6.47,6.50
273.87,0.14,-6.35,0.21,-6.26,6.26,6.40,6.47,6.49
276.61,0.14,-6.34,0.20,-6.27,6.27,6.41,6.47,6.48
279.38,0.14,-6.27,0.18,-6.28,6.28,6.42,6.46,6.40
282.17,0.15,-6.22,0.16,-6.29,6.29,6.44,6.45,6.37
284.99,0.22,-6.10,0.15,-6.29,6.29,6.51,6.44,6.32
287.84,0.32,-6.00,0.14,-6.29,6.29,6.61,6.43,6.32
290.72,0.33,-5.97,0.13,-6.27,6.27,6.60,6.40,6.29
293.63,0.11,-6.21,0.12,-6.25,6.25,6.35,6.36,6.32
296.57,0.10,-6.23,0.11,-6.20,6.20,6.30,6.31,6.33
299.53,0.11,-6.21,0.11,-6.13,6.13,6.24,6.24,6.32
302.53,0.03,-6.29,0.10,-6.05,6.05,6.08,6.15,6.31
305.55,-0.11,-6.31,0.08,-5.95,5.95,5.84,6.04,6.20
308.61,-0.03,-6.07,0.07,-5.84,5.84,5.81,5.91,6.04
311.69,0.04,-5.84,0.05,-5.71,5.71,5.74,5.76,5.88
314.81,0.05,-5.59,0.04,-5.55,5.55,5.59,5.58,5.64
317.96,0.05,-5.34,0.02,-5.37,5.37,5.42,5.39,5.38
321.14,0.05,-5.08,0.00,-5.17,5.17,5.22,5.17,5.13
324.35,0.05,-4.84,0.00,-4.94,4.94,4.99,4.94,4.89
327.59,0.05,-4.61,0.01,-4.69,4.69,4.74,4.71,4.66
330.87,0.05,-4.39,0.00,-4.47,4.47,4.52,4.47,4.44
334.18,0.05,-4.16,-0.02,-4.26,4.26,4.31,4.24,4.21
337.52,-0.10,-4.11,-0.04,-4.06,4.06,3.96,4.03,4.00
340.90,-0.09,-3.89,-0.06,-3.89,3.89,3.80,3.83,3.80
344.30,-0.04,-3.65,-0.09,-3.74,3.74,3.70,3.65,3.61
347.75,-0.12,-3.55,-0.12,-3.61,3.61,3.49,3.49,3.43
351.23,-0.16,-3.46,-0.14,-3.50,3.50,3.34,3.36,3.30
354.74,-0.15,-3.35,-0.16,-3.41,3.41,3.26,3.25,3.20
358.28,-0.15,-3.26,-0.18,-3.33,3.33,3.18,3.15,3.11
361.87,-0.28,-3.30,-0.20,-3.26,3.26,2.98,3.07,3.01
365.49,-0.40,-3.35,-0.23,-3.22,3.22,2.82,2.99,2.94
369.14,-0.28,-3.19,-0.26,-3.18,3.18,2.90,2.93,2.91
372.83,-0.23,-3.10,-0.29,-3.15,3.15,2.92,2.86,2.87
376.56,-0.22,-3.06,-0.31,-3.12,3.12,2.89,2.80,2.84
380.33,-0.24,-3.04,-0.34,-3.08,3.08,2.84,2.74,2.80
384.13,-0.29,-3.03,-0.38,-3.05,3.05,2.76,2.67,2.74
387.97,-0.35,-3.02,-0.41,-3.00,3.00,2.65,2.59,2.67
391.85,-0.38,-2.99,-0.42,-2.93,2.93,2.55,2.50,2.61
395.77,-0.44,-2.90,-0.44,-2.85,2.85,2.41,2.41,2.46
399.73,-0.62,-2.95,-0.45,-2.76,2.76,2.14,2.30,2.33
403.72,-0.62,-2.81,-0.46,-2.65,2.65,2.03,2.19,2.19
407.76,-0.53,-2.59,-0.47,-2.54,2.54,2.01,2.07,2.05
411.84,-0.50,-2.44,-0.49,-2.44,2.44,1.94,1.95,1.93
415.96,-0.50,-2.29,-0.52,-2.34,2.34,1.84,1.82,1.79
420.12,-0.50,-2.14,-0.53,-2.23,2.23,1.72,1.69,1.64
424.32,-0.50,-2.04,-0.53,-2.10,2.10,1.60,1.57,1.54
428.56,-0.36,-1.78,-0.52,-1.97,1.97,1.61,1.45,1.42
432.85,-0.32,-1.65,-0.50,-1.84,1.84,1.52,1.34,1.33
437.18,-0.50,-1.73,-0.48,-1.71,1.71,1.21,1.23,1.23
441.55,-0.51,-1.63,-0.45,-1.57,1.57,1.06,1.12,1.12
445.96,-0.47,-1.49,-0.41,-1.43,1.43,0.96,1.02,1.02
450.42,-0.42,-1.36,-0.37,-1.30,1.30,0.88,0.93,0.94
454.93,-0.50,-1.36,-0.34,-1.18,1.18,0.67,0.84,0.86
459.48,-0.48,-1.24,-0.29,-1.04,1.04,0.56,0.75,0.76
464.07,-0.18,-0.85,-0.24,-0.91,0.91,0.73,0.67,0.67
468.71,-0.08,-0.68,-0.18,-0.77,0.77,0.69,0.59,0.60
473.40,-0.04,-0.55,-0.11,-0.62,0.62,0.58,0.51,0.51
478.13,-0.10,-0.55,-0.04,-0.48,0.48,0.38,0.44,0.45
482.91,0.05,-0.29,0.03,-0.34,0.34,0.39,0.37,0.34
487.74,0.20,-0.09,0.10,-0.21,0.21,0.40,0.31,0.29
492.62,0.24,-0.01,0.18,-0.07,0.07,0.31,0.25,0.25
497.55,0.19,0.00,0.25,0.06,-0.06,0.13,0.19,0.19
502.52,0.26,0.10,0.32,0.19,-0.19,0.07,0.14,0.15
507.55,0.40,0.32,0.38,0.29,-0.29,0.11,0.09,0.07
512.62,0.45,0.40,0.41,0.36,-0.36,0.08,0.05,0.04
517.75,0.46,0.44,0.43,0.42,-0.42,0.03,0.01,0.01
522.93,0.46,0.49,0.45,0.49,-0.49,-0.03,-0.03,-0.04
528.16,0.37,0.44,0.48,0.55,-0.55,-0.18,-0.07,-0.08
533.44,0.44,0.54,0.49,0.60,-0.60,-0.16,-0.10,-0.11
538.77,0.65,0.78,0.49,0.63,-0.63,0.02,-0.14,-0.13
544.16,0.68,0.85,0.48,0.65,-0.65,0.03,-0.17,-0.17
549.60,0.53,0.73,0.46,0.67,-0.67,-0.14,-0.21,-0.20
555.10,0.37,0.61,0.45,0.69,-0.69,-0.32,-0.24,-0.24
560.65,0.29,0.56,0.43,0.70,-0.70,-0.41,-0.28,-0.27
566.25,0.41,0.72,0.40,0.71,-0.71,-0.30,-0.31,-0.31
571.92,0.42,0.75,0.38,0.72,-0.72,-0.31,-0.34,-0.33
577.64,0.39,0.78,0.37,0.74,-0.74,-0.35,-0.37,-0.39
583.41,0.36,0.74,0.37,0.77,-0.77,-0.41,-0.40,-0.38
589.25,0.34,0.81,0.37,0.80,-0.80,-0.46,-0.43,-0.47
595.14,0.25,0.71,0.38,0.84,-0.84,-0.59,-0.46,-0.46
601.09,0.24,0.74,0.40,0.88,-0.88,-0.64,-0.48,-0.50
607.10,0.41,0.93,0.43,0.95,-0.95,-0.54,-0.51,-0.52
613.17,0.46,1.01,0.49,1.03,-1.03,-0.57,-0.54,-0.55
619.30,0.48,1.02,0.54,1.10,-1.10,-0.62,-0.56,-0.54
625.50,0.51,1.08,0.57,1.16,-1.16,-0.65,-0.59,-0.57
631.75,0.53,1.14,0.59,1.21,-1.21,-0.68,-0.62,-0.61
638.07,0.62,1.26,0.60,1.24,-1.24,-0.62,-0.64,-0.64
644.45,0.66,1.32,0.56,1.23,-1.23,-0.57,-0.67,-0.66
650.89,0.63,1.33,0.47,1.17,-1.17,-0.55,-0.70,-0.70
657.40,0.53,1.27,0.34,1.07,-1.07,-0.54,-0.72,-0.74
663.98,0.41,1.17,0.18,0.93,-0.93,-0.53,-0.75,-0.76
670.62,0.27,1.05,-0.01,0.77,-0.77,-0.50,-0.78,-0.78
677.32,0.10,0.90,-0.24,0.57,-0.57,-0.47,-0.81,-0.80
684.10,-0.29,0.58,-0.47,0.37,-0.37,-0.66,-0.84,-0.87
690.94,-0.59,0.28,-0.70,0.17,-0.17,-0.76,-0.87,-0.87
697.85,-0.94,-0.03,-0.93,-0.03,0.03,-0.91,-0.90,-0.91
704.83,-1.46,-0.52,-1.14,-0.22,0.22,-1.24,-0.93,-0.94
711.87,-1.80,-0.85,-1.33,-0.37,0.37,-1.43,-0.96,-0.95
718.99,-1.94,-0.95,-1.47,-0.48,0.48,-1.46,-0.99,-0.99
