frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
24.89,-5.56,-2.47,-5.56,-2.46,2.46,1.83,-3.10,-3.10,-3.09
25.14,-5.55,-2.47,-5.54,-2.45,2.45,1.87,-3.11,-3.10,-3.09
25.39,-5.53,-2.45,-5.52,-2.43,2.43,1.92,-3.11,-3.09,-3.08
25.65,-5.49,-2.42,-5.49,-2.41,2.41,1.96,-3.09,-3.08,-3.08
25.91,-5.47,-2.40,-5.46,-2.39,2.39,2.01,-3.09,-3.08,-3.07
26.16,-5.46,-2.40,-5.44,-2.36,2.36,2.05,-3.10,-3.07,-3.06
26.43,-5.43,-2.37,-5.41,-2.34,2.34,2.10,-3.09,-3.07,-3.06
26.69,-5.40,-2.35,-5.37,-2.31,2.31,2.14,-3.09,-3.06,-3.05
26.96,-5.34,-2.30,-5.34,-2.29,2.29,2.18,-3.06,-3.05,-3.05
27.23,-5.28,-2.24,-5.30,-2.26,2.26,2.22,-3.03,-3.05,-3.04
27.50,-5.24,-2.21,-5.27,-2.23,2.23,2.26,-3.02,-3.04,-3.03
27.77,-5.21,-2.18,-5.23,-2.20,2.20,2.30,-3.02,-3.03,-3.03
28.05,-5.18,-2.16,-5.19,-2.17,2.17,2.33,-3.02,-3.02,-3.02
28.33,-5.15,-2.14,-5.15,-2.14,2.14,2.37,-3.02,-3.02,-3.02
28.62,-5.11,-2.10,-5.12,-2.11,2.11,2.40,-3.01,-3.01,-3.01
28.90,-5.08,-2.07,-5.08,-2.07,2.07,2.42,-3.01,-3.01,-3.01
29.19,-5.05,-2.05,-5.05,-2.04,2.04,2.45,-3.01,-3.00,-3.01
29.48,-5.01,-2.01,-5.02,-2.01,2.01,2.47,-3.00,-3.01,-3.00
29.78,-4.97,-1.97,-4.99,-1.98,1.98,2.49,-2.99,-3.01,-3.00
30.08,-4.94,-1.94,-4.96,-1.95,1.95,2.50,-2.99,-3.01,-3.00
30.38,-4.92,-1.92,-4.93,-1.92,1.92,2.51,-3.01,-3.01,-3.00
30.68,-4.89,-1.90,-4.89,-1.88,1.88,2.51,-3.01,-3.01,-3.00
30.99,-4.87,-1.88,-4.85,-1.85,1.85,2.52,-3.03,-3.01,-3.00
31.30,-4.83,-1.84,-4.81,-1.81,1.81,2.51,-3.02,-3.00,-3.00
31.61,-4.79,-1.80,-4.77,-1.77,1.77,2.50,-3.02,-3.00,-2.99
31.93,-4.76,-1.77,-4.73,-1.73,1.73,2.49,-3.03,-3.00,-2.99
32.24,-4.73,-1.74,-4.69,-1.69,1.69,2.48,-3.04,-3.00,-2.99
32.57,-4.66,-1.68,-4.65,-1.65,1.65,2.46,-3.01,-2.99,-2.99
32.89,-4.58,-1.60,-4.61,-1.62,1.62,2.43,-2.97,-2.99,-2.98
33.22,-4.50,-1.52,-4.57,-1.58,1.58,2.41,-2.92,-2.99,-2.98
33.55,-4.48,-1.51,-4.52,-1.54,1.54,2.38,-2.94,-2.98,-2.97
33.89,-4.46,-1.50,-4.48,-1.51,1.51,2.34,-2.95,-2.97,-2.97
34.23,-4.43,-1.48,-4.44,-1.48,1.48,2.31,-2.96,-2.96,-2.96
34.57,-4.40,-1.45,-4.40,-1.45,1.45,2.27,-2.96,-2.95,-2.95
34.92,-4.37,-1.43,-4.36,-1.42,1.42,2.23,-2.95,-2.94,-2.94
35.27,-4.35,-1.42,-4.32,-1.39,1.39,2.18,-2.96,-2.93,-2.93
35.62,-4.31,-1.39,-4.29,-1.37,1.37,2.14,-2.94,-2.92,-2.92
35.97,-4.27,-1.36,-4.26,-1.35,1.35,2.09,-2.92,-2.91,-2.91
36.33,-4.23,-1.33,-4.23,-1.33,1.33,2.04,-2.90,-2.90,-2.90
36.70,-4.20,-1.31,-4.21,-1.31,1.31,1.99,-2.89,-2.90,-2.89
37.06,-4.17,-1.29,-4.18,-1.30,1.30,1.94,-2.88,-2.89,-2.88
37.43,-4.14,-1.27,-4.16,-1.28,1.28,1.89,-2.86,-2.88,-2.87
37.81,-4.10,-1.24,-4.13,-1.26,1.26,1.84,-2.84,-2.87,-2.86
38.19,-4.09,-1.24,-4.11,-1.25,1.25,1.79,-2.84,-2.86,-2.85
38.57,-4.08,-1.24,-4.08,-1.24,1.24,1.74,-2.85,-2.85,-2.84
38.95,-4.07,-1.24,-4.06,-1.22,1.22,1.69,-2.85,-2.84,-2.84
39.34,-4.06,-1.23,-4.04,-1.21,1.21,1.64,-2.85,-2.83,-2.83
39.74,-4.03,-1.21,-4.02,-1.20,1.20,1.59,-2.84,-2.83,-2.82
40.14,-4.01,-1.19,-4.01,-1.19,1.19,1.53,-2.83,-2.82,-2.82
40.54,-4.00,-1.19,-3.99,-1.18,1.18,1.49,-2.83,-2.82,-2.82
40.94,-3.98,-1.17,-3.98,-1.17,1.17,1.44,-2.82,-2.81,-2.81
41.35,-3.96,-1.15,-3.97,-1.16,1.16,1.39,-2.80,-2.81,-2.81
41.76,-3.95,-1.15,-3.96,-1.15,1.15,1.34,-2.80,-2.81,-2.81
42.18,-3.94,-1.14,-3.95,-1.15,1.15,1.29,-2.80,-2.81,-2.81
42.60,-3.92,-1.12,-3.95,-1.14,1.14,1.25,-2.79,-2.81,-2.81
43.03,-3.90,-1.10,-3.94,-1.13,1.13,1.20,-2.77,-2.81,-2.80
43.46,-3.90,-1.10,-3.94,-1.12,1.12,1.16,-2.79,-2.82,-2.80
43.90,-3.90,-1.10,-3.92,-1.10,1.10,1.12,-2.80,-2.82,-2.81
44.33,-3.92,-1.12,-3.91,-1.09,1.09,1.08,-2.84,-2.82,-2.81
44.78,-3.93,-1.12,-3.89,-1.07,1.07,1.04,-2.87,-2.82,-2.81
45.23,-3.91,-1.10,-3.87,-1.04,1.04,1.00,-2.87,-2.83,-2.81
45.68,-3.88,-1.07,-3.84,-1.01,1.01,0.96,-2.87,-2.83,-2.81
46.13,-3.83,-1.02,-3.81,-0.97,0.97,0.92,-2.86,-2.83,-2.82
46.60,-3.80,-0.98,-3.77,-0.93,0.93,0.88,-2.87,-2.84,-2.82
47.06,-3.76,-0.94,-3.72,-0.89,0.89,0.85,-2.88,-2.84,-2.82
47.53,-3.67,-0.85,-3.68,-0.83,0.83,0.81,-2.84,-2.84,-2.83
48.01,-3.59,-0.76,-3.62,-0.78,0.78,0.78,-2.81,-2.84,-2.83
48.49,-3.52,-0.69,-3.56,-0.72,0.72,0.74,-2.80,-2.84,-2.83
48.97,-3.47,-0.64,-3.50,-0.66,0.66,0.71,-2.81,-2.84,-2.83
49.46,-3.43,-0.60,-3.43,-0.60,0.60,0.68,-2.84,-2.84,-2.83
49.96,-3.37,-0.54,-3.37,-0.54,0.54,0.65,-2.84,-2.83,-2.83
50.46,-3.31,-0.48,-3.31,-0.47,0.47,0.62,-2.84,-2.83,-2.83
50.96,-3.25,-0.42,-3.25,-0.42,0.42,0.59,-2.84,-2.83,-2.83
51.47,-3.20,-0.37,-3.19,-0.36,0.36,0.56,-2.84,-2.83,-2.83
51.99,-3.14,-0.32,-3.13,-0.31,0.31,0.53,-2.84,-2.83,-2.83
52.51,-3.09,-0.27,-3.08,-0.26,0.26,0.50,-2.83,-2.82,-2.82
53.03,-3.03,-0.21,-3.04,-0.22,0.22,0.47,-2.82,-2.82,-2.82
53.56,-2.98,-0.17,-3.00,-0.18,0.18,0.45,-2.80,-2.82,-2.81
54.10,-2.94,-0.13,-2.96,-0.15,0.15,0.42,-2.79,-2.81,-2.81
54.64,-2.91,-0.11,-2.93,-0.13,0.13,0.40,-2.78,-2.81,-2.81
55.18,-2.89,-0.09,-2.91,-0.11,0.11,0.37,-2.78,-2.80,-2.80
55.74,-2.88,-0.09,-2.89,-0.10,0.10,0.35,-2.78,-2.79,-2.80
56.29,-2.87,-0.08,-2.88,-0.09,0.09,0.32,-2.78,-2.79,-2.79
56.86,-2.87,-0.09,-2.88,-0.09,0.09,0.30,-2.78,-2.78,-2.79
57.42,-2.87,-0.09,-2.88,-0.10,0.10,0.28,-2.78,-2.78,-2.78
58.00,-2.88,-0.10,-2.89,-0.11,0.11,0.25,-2.78,-2.78,-2.78
58.58,-2.89,-0.12,-2.90,-0.12,0.12,0.23,-2.77,-2.78,-2.78
59.16,-2.91,-0.14,-2.91,-0.13,0.13,0.21,-2.78,-2.78,-2.77
59.76,-2.93,-0.16,-2.93,-0.15,0.15,0.19,-2.78,-2.78,-2.77
60.35,-2.95,-0.18,-2.95,-0.17,0.17,0.17,-2.79,-2.78,-2.77
60.96,-2.97,-0.20,-2.97,-0.18,0.18,0.15,-2.79,-2.78,-2.78
61.57,-2.99,-0.21,-2.98,-0.19,0.19,0.13,-2.80,-2.79,-2.78
62.18,-3.01,-0.23,-3.00,-0.21,0.21,0.11,-2.81,-2.79,-2.78
62.80,-3.02,-0.23,-3.01,-0.22,0.22,0.09,-2.81,-2.80,-2.79
63.43,-3.03,-0.24,-3.02,-0.22,0.22,0.07,-2.81,-2.80,-2.80
64.07,-3.04,-0.24,-3.04,-0.22,0.22,0.05,-2.82,-2.81,-2.80
64.71,-3.05,-0.24,-3.04,-0.22,0.22,0.03,-2.83,-2.82,-2.81
65.35,-3.06,-0.24,-3.05,-0.22,0.22,0.01,-2.84,-2.83,-2.82
66.01,-3.05,-0.22,-3.05,-0.22,0.22,-0.01,-2.84,-2.84,-2.83
66.67,-3.04,-0.20,-3.05,-0.21,0.21,-0.02,-2.83,-2.85,-2.84
67.33,-3.05,-0.20,-3.06,-0.20,0.20,-0.04,-2.85,-2.86,-2.86
68.01,-3.06,-0.19,-3.06,-0.19,0.19,-0.06,-2.87,-2.87,-2.87
68.69,-3.06,-0.18,-3.06,-0.18,0.18,-0.08,-2.88,-2.88,-2.89
69.37,-3.06,-0.16,-3.07,-0.17,0.17,-0.10,-2.89,-2.90,-2.90
70.07,-3.07,-0.15,-3.08,-0.16,0.16,-0.11,-2.91,-2.92,-2.92
70.77,-3.07,-0.14,-3.08,-0.15,0.15,-0.13,-2.92,-2.94,-2.94
71.48,-3.07,-0.12,-3.09,-0.14,0.14,-0.15,-2.94,-2.95,-2.95
72.19,-3.08,-0.11,-3.10,-0.13,0.13,-0.17,-2.96,-2.97,-2.97
72.91,-3.09,-0.10,-3.11,-0.11,0.11,-0.19,-2.98,-2.99,-2.99
73.64,-3.12,-0.11,-3.11,-0.10,0.10,-0.20,-3.02,-3.02,-3.01
74.38,-3.15,-0.12,-3.12,-0.09,0.09,-0.22,-3.07,-3.04,-3.03
75.12,-3.16,-0.10,-3.13,-0.07,0.07,-0.24,-3.09,-3.06,-3.06
75.87,-3.16,-0.08,-3.14,-0.05,0.05,-0.26,-3.11,-3.09,-3.09
76.63,-3.15,-0.04,-3.15,-0.03,0.03,-0.28,-3.12,-3.12,-3.11
77.40,-3.14,0.00,-3.16,-0.01,0.01,-0.30,-3.13,-3.15,-3.14
78.17,-3.15,0.02,-3.17,0.02,-0.02,-0.32,-3.17,-3.18,-3.18
78.95,-3.16,0.05,-3.17,0.04,-0.04,-0.34,-3.21,-3.22,-3.21
79.74,-3.17,0.07,-3.18,0.08,-0.08,-0.36,-3.25,-3.25,-3.25
80.54,-3.18,0.10,-3.19,0.11,-0.11,-0.38,-3.29,-3.30,-3.29
81.35,-3.20,0.13,-3.20,0.14,-0.14,-0.40,-3.35,-3.34,-3.33
82.16,-3.21,0.16,-3.20,0.18,-0.18,-0.42,-3.39,-3.38,-3.38
82.98,-3.21,0.21,-3.21,0.22,-0.22,-0.44,-3.43,-3.43,-3.42
83.81,-3.21,0.26,-3.22,0.26,-0.26,-0.46,-3.47,-3.48,-3.48
84.65,-3.22,0.31,-3.24,0.30,-0.30,-0.48,-3.52,-3.53,-3.53
85.50,-3.23,0.35,-3.25,0.34,-0.34,-0.50,-3.57,-3.59,-3.59
86.35,-3.26,0.38,-3.26,0.38,-0.38,-0.53,-3.64,-3.64,-3.64
87.22,-3.28,0.41,-3.27,0.42,-0.42,-0.55,-3.70,-3.69,-3.70
88.09,-3.30,0.45,-3.29,0.46,-0.46,-0.57,-3.76,-3.74,-3.75
88.97,-3.31,0.49,-3.30,0.50,-0.50,-0.60,-3.81,-3.80,-3.80
89.86,-3.31,0.54,-3.31,0.54,-0.54,-0.62,-3.85,-3.85,-3.85
90.76,-3.31,0.59,-3.32,0.58,-0.58,-0.65,-3.89,-3.90,-3.91
91.66,-3.31,0.64,-3.34,0.62,-0.62,-0.67,-3.93,-3.95,-3.95
92.58,-3.33,0.67,-3.35,0.65,-0.65,-0.70,-3.99,-4.00,-4.00
93.51,-3.35,0.69,-3.36,0.69,-0.69,-0.72,-4.04,-4.05,-4.05
94.44,-3.37,0.72,-3.36,0.73,-0.73,-0.75,-4.10,-4.09,-4.09
95.39,-3.38,0.75,-3.37,0.77,-0.77,-0.78,-4.15,-4.13,-4.13
96.34,-3.39,0.77,-3.37,0.80,-0.80,-0.81,-4.20,-4.17,-4.17
97.30,-3.39,0.81,-3.37,0.84,-0.84,-0.83,-4.23,-4.21,-4.20
98.28,-3.38,0.86,-3.37,0.88,-0.88,-0.86,-4.26,-4.25,-4.24
99.26,-3.37,0.90,-3.38,0.91,-0.91,-0.89,-4.29,-4.29,-4.28
100.25,-3.36,0.95,-3.38,0.95,-0.95,-0.92,-4.31,-4.33,-4.31
101.25,-3.36,0.99,-3.38,0.98,-0.98,-0.95,-4.34,-4.36,-4.35
102.27,-3.36,1.03,-3.38,1.01,-1.01,-0.98,-4.38,-4.40,-4.39
103.29,-3.37,1.05,-3.38,1.05,-1.05,-1.00,-4.42,-4.43,-4.43
104.32,-3.37,1.09,-3.38,1.08,-1.08,-1.03,-4.45,-4.46,-4.46
105.37,-3.38,1.11,-3.39,1.10,-1.10,-1.06,-4.49,-4.49,-4.49
106.42,-3.39,1.13,-3.39,1.13,-1.13,-1.09,-4.52,-4.52,-4.52
107.48,-3.40,1.15,-3.39,1.15,-1.15,-1.12,-4.56,-4.55,-4.55
108.56,-3.41,1.17,-3.40,1.18,-1.18,-1.15,-4.59,-4.58,-4.58
109.64,-3.41,1.19,-3.40,1.20,-1.20,-1.17,-4.61,-4.60,-4.60
110.74,-3.40,1.22,-3.40,1.22,-1.22,-1.20,-4.62,-4.62,-4.62
111.85,-3.39,1.25,-3.40,1.24,-1.24,-1.23,-4.63,-4.64,-4.64
112.97,-3.40,1.25,-3.40,1.25,-1.25,-1.25,-4.66,-4.66,-4.66
114.10,-3.41,1.25,-3.40,1.27,-1.27,-1.27,-4.68,-4.67,-4.67
115.24,-3.41,1.27,-3.39,1.28,-1.28,-1.30,-4.70,-4.68,-4.68
116.39,-3.41,1.27,-3.39,1.30,-1.30,-1.32,-4.71,-4.69,-4.69
117.55,-3.39,1.30,-3.39,1.31,-1.31,-1.34,-4.70,-4.69,-4.69
118.73,-3.37,1.33,-3.39,1.31,-1.31,-1.36,-4.69,-4.70,-4.70
119.92,-3.37,1.33,-3.39,1.32,-1.32,-1.38,-4.69,-4.71,-4.70
121.12,-3.36,1.35,-3.39,1.33,-1.33,-1.39,-4.69,-4.72,-4.71
122.33,-3.36,1.35,-3.39,1.33,-1.33,-1.41,-4.70,-4.73,-4.72
123.55,-3.37,1.35,-3.40,1.34,-1.34,-1.42,-4.71,-4.73,-4.72
124.79,-3.38,1.34,-3.40,1.34,-1.34,-1.43,-4.72,-4.74,-4.73
126.03,-3.40,1.33,-3.40,1.34,-1.34,-1.44,-4.74,-4.74,-4.73
127.29,-3.41,1.32,-3.40,1.34,-1.34,-1.45,-4.76,-4.74,-4.74
128.57,-3.42,1.32,-3.40,1.35,-1.35,-1.45,-4.77,-4.75,-4.74
129.85,-3.43,1.31,-3.40,1.35,-1.35,-1.46,-4.79,-4.75,-4.74
131.15,-3.43,1.32,-3.40,1.36,-1.36,-1.46,-4.79,-4.76,-4.75
132.46,-3.42,1.33,-3.40,1.37,-1.37,-1.47,-4.79,-4.76,-4.75
133.79,-3.40,1.35,-3.39,1.37,-1.37,-1.47,-4.77,-4.76,-4.76
135.12,-3.38,1.38,-3.39,1.38,-1.38,-1.47,-4.76,-4.77,-4.76
136.48,-3.36,1.40,-3.39,1.39,-1.39,-1.46,-4.75,-4.77,-4.77
137.84,-3.35,1.42,-3.38,1.39,-1.39,-1.46,-4.75,-4.78,-4.77
139.22,-3.36,1.42,-3.38,1.40,-1.40,-1.46,-4.77,-4.79,-4.78
140.61,-3.36,1.43,-3.38,1.41,-1.41,-1.46,-4.78,-4.79,-4.79
142.02,-3.36,1.43,-3.38,1.42,-1.42,-1.45,-4.78,-4.80,-4.80
143.44,-3.37,1.44,-3.38,1.43,-1.43,-1.45,-4.80,-4.81,-4.81
144.87,-3.38,1.44,-3.39,1.44,-1.44,-1.44,-4.82,-4.83,-4.82
146.32,-3.39,1.44,-3.39,1.45,-1.45,-1.44,-4.85,-4.84,-4.83
147.78,-3.41,1.43,-3.40,1.46,-1.46,-1.43,-4.88,-4.86,-4.85
149.26,-3.41,1.45,-3.40,1.48,-1.48,-1.43,-4.89,-4.88,-4.86
150.75,-3.41,1.47,-3.40,1.50,-1.50,-1.42,-4.91,-4.90,-4.88
152.26,-3.41,1.49,-3.40,1.51,-1.51,-1.42,-4.93,-4.91,-4.90
153.78,-3.41,1.50,-3.40,1.53,-1.53,-1.41,-4.95,-4.93,-4.92
155.32,-3.41,1.52,-3.39,1.55,-1.55,-1.41,-4.97,-4.94,-4.94
156.88,-3.40,1.55,-3.39,1.57,-1.57,-1.41,-4.98,-4.96,-4.95
158.44,-3.39,1.58,-3.38,1.60,-1.60,-1.40,-4.99,-4.98,-4.97
160.03,-3.37,1.62,-3.38,1.62,-1.62,-1.40,-4.99,-4.99,-4.99
161.63,-3.34,1.66,-3.37,1.64,-1.64,-1.40,-4.98,-5.01,-5.00
163.24,-3.32,1.69,-3.37,1.65,-1.65,-1.40,-4.97,-5.02,-5.02
164.88,-3.33,1.70,-3.37,1.67,-1.67,-1.40,-5.00,-5.03,-5.03
166.53,-3.34,1.70,-3.37,1.68,-1.68,-1.40,-5.02,-5.04,-5.04
168.19,-3.35,1.70,-3.36,1.69,-1.69,-1.41,-5.04,-5.05,-5.05
169.87,-3.36,1.69,-3.36,1.69,-1.69,-1.41,-5.06,-5.05,-5.06
171.57,-3.37,1.68,-3.36,1.70,-1.70,-1.42,-5.07,-5.06,-5.06
173.29,-3.38,1.67,-3.35,1.70,-1.70,-1.42,-5.09,-5.06,-5.06
175.02,-3.39,1.66,-3.35,1.70,-1.70,-1.43,-5.10,-5.06,-5.06
176.77,-3.38,1.67,-3.35,1.70,-1.70,-1.44,-5.09,-5.06,-5.05
178.54,-3.36,1.68,-3.35,1.70,-1.70,-1.45,-5.07,-5.05,-5.05
180.32,-3.34,1.70,-3.35,1.70,-1.70,-1.46,-5.05,-5.05,-5.04
182.13,-3.32,1.71,-3.34,1.70,-1.70,-1.47,-5.02,-5.04,-5.03
183.95,-3.31,1.71,-3.33,1.70,-1.70,-1.48,-5.01,-5.03,-5.02
185.79,-3.30,1.71,-3.32,1.70,-1.70,-1.50,-5.01,-5.02,-5.02
187.65,-3.30,1.71,-3.31,1.70,-1.70,-1.51,-5.01,-5.01,-5.01
189.52,-3.30,1.70,-3.30,1.70,-1.70,-1.53,-5.01,-5.01,-5.00
191.42,-3.30,1.69,-3.29,1.71,-1.71,-1.55,-5.01,-5.00,-4.99
193.33,-3.29,1.69,-3.28,1.71,-1.71,-1.56,-5.00,-4.99,-4.98
195.27,-3.27,1.71,-3.27,1.71,-1.71,-1.58,-4.98,-4.98,-4.98
197.22,-3.26,1.71,-3.27,1.70,-1.70,-1.60,-4.97,-4.97,-4.97
199.19,-3.26,1.70,-3.27,1.70,-1.70,-1.62,-4.97,-4.97,-4.97
201.18,-3.26,1.70,-3.26,1.70,-1.70,-1.64,-4.96,-4.97,-4.96
203.19,-3.25,1.71,-3.26,1.70,-1.70,-1.67,-4.95,-4.96,-4.96
205.23,-3.26,1.69,-3.26,1.70,-1.70,-1.69,-4.96,-4.96,-4.95
207.28,-3.26,1.69,-3.26,1.69,-1.69,-1.71,-4.96,-4.96,-4.95
209.35,-3.24,1.70,-3.26,1.69,-1.69,-1.73,-4.94,-4.95,-4.95
211.44,-3.22,1.72,-3.26,1.69,-1.69,-1.76,-4.91,-4.95,-4.94
213.56,-3.24,1.69,-3.25,1.69,-1.69,-1.78,-4.93,-4.94,-4.94
215.69,-3.26,1.67,-3.25,1.69,-1.69,-1.80,-4.95,-4.94,-4.93
217.85,-3.27,1.65,-3.24,1.69,-1.69,-1.82,-4.97,-4.93,-4.93
220.03,-3.27,1.65,-3.23,1.69,-1.69,-1.84,-4.97,-4.93,-4.92
222.23,-3.24,1.67,-3.22,1.70,-1.70,-1.87,-4.94,-4.92,-4.92
224.45,-3.21,1.70,-3.21,1.70,-1.70,-1.89,-4.91,-4.91,-4.91
226.70,-3.20,1.70,-3.20,1.70,-1.70,-1.91,-4.91,-4.90,-4.90
228.96,-3.18,1.71,-3.18,1.71,-1.71,-1.92,-4.89,-4.89,-4.89
231.25,-3.16,1.72,-3.17,1.71,-1.71,-1.94,-4.87,-4.88,-4.88
233.57,-3.14,1.72,-3.16,1.71,-1.71,-1.96,-4.85,-4.87,-4.87
235.90,-3.11,1.74,-3.14,1.71,-1.71,-1.97,-4.82,-4.86,-4.85
238.26,-3.11,1.73,-3.13,1.71,-1.71,-1.98,-4.83,-4.84,-4.84
240.64,-3.11,1.71,-3.12,1.71,-1.71,-1.99,-4.83,-4.83,-4.83
243.05,-3.10,1.71,-3.10,1.71,-1.71,-2.00,-4.82,-4.81,-4.81
245.48,-3.09,1.70,-3.09,1.71,-1.71,-2.01,-4.80,-4.80,-4.80
247.93,-3.07,1.71,-3.08,1.71,-1.71,-2.02,-4.78,-4.79,-4.78
250.41,-3.06,1.70,-3.07,1.71,-1.71,-2.02,-4.77,-4.78,-4.77
252.92,-3.06,1.69,-3.05,1.71,-1.71,-2.02,-4.78,-4.77,-4.75
255.45,-3.06,1.68,-3.04,1.71,-1.71,-2.02,-4.78,-4.76,-4.74
258.00,-3.05,1.68,-3.03,1.71,-1.71,-2.01,-4.77,-4.74,-4.73
260.58,-3.03,1.69,-3.02,1.72,-1.72,-2.01,-4.75,-4.73,-4.72
263.19,-3.00,1.71,-3.00,1.72,-1.72,-2.00,-4.72,-4.72,-4.71
265.82,-2.97,1.73,-2.99,1.72,-1.72,-1.99,-4.70,-4.71,-4.70
268.48,-2.94,1.75,-2.97,1.73,-1.73,-1.98,-4.67,-4.70,-4.70
271.16,-2.93,1.76,-2.95,1.73,-1.73,-1.97,-4.66,-4.68,-4.69
273.87,-2.92,1.75,-2.93,1.73,-1.73,-1.96,-4.66,-4.67,-4.68
276.61,-2.92,1.74,-2.92,1.74,-1.74,-1.95,-4.66,-4.66,-4.66
279.38,-2.91,1.74,-2.90,1.74,-1.74,-1.93,-4.65,-4.64,-4.65
282.17,-2.88,1.75,-2.88,1.74,-1.74,-1.91,-4.63,-4.62,-4.63
284.99,-2.86,1.75,-2.86,1.75,-1.75,-1.90,-4.61,-4.61,-4.61
287.84,-2.84,1.75,-2.85,1.75,-1.75,-1.88,-4.59,-4.60,-4.59
290.72,-2.82,1.75,-2.83,1.76,-1.76,-1.86,-4.58,-4.58,-4.57
293.63,-2.80,1.75,-2.80,1.76,-1.76,-1.84,-4.57,-4.57,-4.55
296.57,-2.78,1.75,-2.78,1.77,-1.77,-1.83,-4.55,-4.55,-4.53
299.53,-2.75,1.76,-2.75,1.78,-1.78,-1.81,-4.53,-4.53,-4.51
302.53,-2.73,1.76,-2.72,1.79,-1.79,-1.79,-4.52,-4.51,-4.50
305.55,-2.72,1.76,-2.69,1.80,-1.80,-1.77,-4.52,-4.49,-4.48
308.61,-2.68,1.78,-2.66,1.81,-1.81,-1.76,-4.50,-4.48,-4.46
311.69,-2.65,1.80,-2.63,1.83,-1.83,-1.74,-4.48,-4.46,-4.45
314.81,-2.60,1.83,-2.61,1.84,-1.84,-1.72,-4.44,-4.45,-4.43
317.96,-2.55,1.87,-2.58,1.85,-1.85,-1.71,-4.40,-4.43,-4.42
321.14,-2.51,1.89,-2.55,1.86,-1.86,-1.69,-4.37,-4.41,-4.41
324.35,-2.47,1.92,-2.52,1.87,-1.87,-1.68,-4.34,-4.39,-4.39
327.59,-2.47,1.90,-2.50,1.88,-1.88,-1.67,-4.35,-4.37,-4.38
330.87,-2.47,1.89,-2.47,1.88,-1.88,-1.66,-4.35,-4.35,-4.36
334.18,-2.47,1.87,-2.45,1.88,-1.88,-1.65,-4.35,-4.33,-4.34
337.52,-2.45,1.87,-2.43,1.88,-1.88,-1.64,-4.33,-4.31,-4.32
340.90,-2.42,1.87,-2.41,1.88,-1.88,-1.63,-4.30,-4.28,-4.29
344.30,-2.39,1.87,-2.39,1.87,-1.87,-1.62,-4.26,-4.26,-4.27
347.75,-2.36,1.88,-2.37,1.86,-1.86,-1.62,-4.23,-4.24,-4.24
351.23,-2.34,1.87,-2.36,1.86,-1.86,-1.61,-4.20,-4.22,-4.21
354.74,-2.33,1.85,-2.34,1.85,-1.85,-1.61,-4.19,-4.19,-4.18
358.28,-2.31,1.84,-2.32,1.85,-1.85,-1.61,-4.16,-4.17,-4.16
361.87,-2.30,1.83,-2.30,1.85,-1.85,-1.61,-4.15,-4.14,-4.13
365.49,-2.28,1.82,-2.27,1.85,-1.85,-1.61,-4.13,-4.12,-4.11
369.14,-2.26,1.82,-2.24,1.85,-1.85,-1.61,-4.11,-4.09,-4.08
372.83,-2.22,1.84,-2.22,1.86,-1.86,-1.61,-4.08,-4.07,-4.06
