frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
31.93,-1.08,-0.66,-1.07,-0.64,0.64,1.03,-0.44,-0.43,-0.41
32.24,-1.13,-0.72,-1.09,-0.66,0.66,1.02,-0.47,-0.43,-0.41
32.57,-1.15,-0.74,-1.11,-0.68,0.68,1.02,-0.47,-0.43,-0.41
32.89,-1.17,-0.76,-1.12,-0.69,0.69,1.01,-0.47,-0.43,-0.41
33.22,-1.17,-0.77,-1.13,-0.71,0.71,1.00,-0.46,-0.42,-0.40
33.55,-1.17,-0.77,-1.13,-0.71,0.71,0.99,-0.45,-0.41,-0.40
33.89,-1.15,-0.76,-1.12,-0.71,0.71,0.97,-0.43,-0.40,-0.39
34.23,-1.13,-0.75,-1.11,-0.71,0.71,0.96,-0.42,-0.39,-0.38
34.57,-1.09,-0.72,-1.09,-0.70,0.70,0.94,-0.38,-0.38,-0.37
34.92,-1.06,-0.70,-1.07,-0.69,0.69,0.93,-0.36,-0.37,-0.36
35.27,-1.02,-0.67,-1.04,-0.68,0.68,0.91,-0.34,-0.36,-0.35
35.62,-0.99,-0.65,-1.01,-0.66,0.66,0.89,-0.32,-0.35,-0.34
35.97,-0.95,-0.62,-0.98,-0.65,0.65,0.88,-0.30,-0.33,-0.33
36.33,-0.92,-0.60,-0.95,-0.63,0.63,0.86,-0.29,-0.32,-0.32
36.70,-0.91,-0.60,-0.92,-0.61,0.61,0.84,-0.30,-0.32,-0.31
37.06,-0.89,-0.59,-0.90,-0.59,0.59,0.82,-0.30,-0.31,-0.30
37.43,-0.88,-0.59,-0.87,-0.56,0.56,0.80,-0.31,-0.30,-0.29
37.81,-0.86,-0.58,-0.84,-0.54,0.54,0.78,-0.32,-0.29,-0.28
38.19,-0.84,-0.56,-0.81,-0.52,0.52,0.76,-0.32,-0.29,-0.27
38.57,-0.81,-0.54,-0.77,-0.50,0.50,0.74,-0.31,-0.28,-0.27
38.95,-0.77,-0.51,-0.75,-0.48,0.48,0.73,-0.29,-0.27,-0.26
39.34,-0.74,-0.48,-0.72,-0.46,0.46,0.71,-0.28,-0.26,-0.25
39.74,-0.71,-0.46,-0.69,-0.44,0.44,0.69,-0.27,-0.25,-0.25
40.14,-0.68,-0.43,-0.67,-0.43,0.43,0.67,-0.25,-0.25,-0.24
40.54,-0.64,-0.40,-0.66,-0.41,0.41,0.65,-0.23,-0.25,-0.24
40.94,-0.60,-0.36,-0.64,-0.40,0.40,0.64,-0.20,-0.25,-0.23
41.35,-0.57,-0.34,-0.64,-0.39,0.39,0.62,-0.18,-0.25,-0.23
41.76,-0.57,-0.34,-0.63,-0.38,0.38,0.60,-0.18,-0.24,-0.23
42.18,-0.59,-0.36,-0.62,-0.38,0.38,0.59,-0.21,-0.24,-0.23
42.60,-0.62,-0.39,-0.62,-0.38,0.38,0.57,-0.24,-0.24,-0.23
43.03,-0.65,-0.42,-0.62,-0.38,0.38,0.56,-0.27,-0.24,-0.23
43.46,-0.67,-0.44,-0.62,-0.37,0.37,0.54,-0.29,-0.24,-0.23
43.90,-0.68,-0.45,-0.62,-0.37,0.37,0.53,-0.30,-0.25,-0.23
44.33,-0.68,-0.45,-0.62,-0.38,0.38,0.51,-0.30,-0.25,-0.23
44.78,-0.68,-0.45,-0.63,-0.38,0.38,0.50,-0.30,-0.25,-0.23
45.23,-0.67,-0.43,-0.63,-0.38,0.38,0.49,-0.28,-0.25,-0.23
45.68,-0.63,-0.39,-0.64,-0.39,0.39,0.48,-0.24,-0.25,-0.24
46.13,-0.60,-0.36,-0.65,-0.39,0.39,0.46,-0.20,-0.25,-0.24
46.60,-0.60,-0.36,-0.65,-0.40,0.40,0.45,-0.20,-0.25,-0.24
47.06,-0.60,-0.35,-0.66,-0.40,0.40,0.44,-0.19,-0.26,-0.25
47.53,-0.63,-0.38,-0.67,-0.41,0.41,0.43,-0.22,-0.26,-0.25
48.01,-0.65,-0.40,-0.68,-0.42,0.42,0.42,-0.23,-0.26,-0.25
48.49,-0.68,-0.42,-0.69,-0.43,0.43,0.41,-0.25,-0.26,-0.25
48.97,-0.71,-0.45,-0.70,-0.44,0.44,0.40,-0.27,-0.27,-0.26
49.46,-0.73,-0.47,-0.71,-0.44,0.44,0.39,-0.28,-0.27,-0.26
49.96,-0.76,-0.50,-0.72,-0.45,0.45,0.38,-0.31,-0.28,-0.26
50.46,-0.79,-0.53,-0.73,-0.45,0.45,0.37,-0.34,-0.28,-0.26
50.96,-0.78,-0.52,-0.72,-0.44,0.44,0.37,-0.34,-0.28,-0.25
51.47,-0.76,-0.50,-0.71,-0.43,0.43,0.36,-0.32,-0.28,-0.25
51.99,-0.74,-0.49,-0.70,-0.42,0.42,0.35,-0.32,-0.28,-0.25
52.51,-0.71,-0.46,-0.67,-0.41,0.41,0.34,-0.30,-0.27,-0.25
53.03,-0.66,-0.41,-0.65,-0.39,0.39,0.33,-0.27,-0.25,-0.24
53.56,-0.62,-0.38,-0.62,-0.38,0.38,0.33,-0.24,-0.24,-0.24
54.10,-0.59,-0.35,-0.60,-0.36,0.36,0.32,-0.22,-0.24,-0.23
54.64,-0.56,-0.33,-0.58,-0.35,0.35,0.31,-0.20,-0.23,-0.23
55.18,-0.51,-0.28,-0.58,-0.35,0.35,0.30,-0.16,-0.23,-0.22
55.74,-0.49,-0.27,-0.57,-0.35,0.35,0.29,-0.14,-0.23,-0.22
56.29,-0.48,-0.26,-0.57,-0.35,0.35,0.29,-0.13,-0.23,-0.21
56.86,-0.51,-0.30,-0.58,-0.35,0.35,0.28,-0.16,-0.23,-0.21
57.42,-0.55,-0.34,-0.58,-0.36,0.36,0.27,-0.19,-0.23,-0.20
58.00,-0.60,-0.40,-0.59,-0.36,0.36,0.26,-0.23,-0.23,-0.20
58.58,-0.66,-0.46,-0.60,-0.37,0.37,0.25,-0.29,-0.23,-0.20
59.16,-0.69,-0.49,-0.61,-0.37,0.37,0.24,-0.32,-0.24,-0.20
59.76,-0.72,-0.52,-0.61,-0.37,0.37,0.23,-0.35,-0.24,-0.20
60.35,-0.69,-0.49,-0.60,-0.36,0.36,0.22,-0.32,-0.24,-0.20
60.96,-0.66,-0.46,-0.59,-0.36,0.36,0.20,-0.30,-0.23,-0.20
61.57,-0.61,-0.41,-0.58,-0.35,0.35,0.19,-0.26,-0.23,-0.20
62.18,-0.56,-0.35,-0.56,-0.33,0.33,0.18,-0.22,-0.23,-0.21
62.80,-0.52,-0.31,-0.54,-0.31,0.31,0.16,-0.20,-0.23,-0.21
63.43,-0.49,-0.27,-0.53,-0.30,0.30,0.15,-0.19,-0.24,-0.22
64.07,-0.45,-0.22,-0.52,-0.27,0.27,0.14,-0.17,-0.24,-0.23
64.71,-0.43,-0.19,-0.51,-0.26,0.26,0.12,-0.17,-0.25,-0.23
65.35,-0.42,-0.17,-0.50,-0.24,0.24,0.10,-0.18,-0.26,-0.24
66.01,-0.42,-0.16,-0.50,-0.22,0.22,0.09,-0.20,-0.27,-0.25
66.67,-0.44,-0.17,-0.49,-0.20,0.20,0.07,-0.23,-0.29,-0.27
67.33,-0.49,-0.21,-0.49,-0.18,0.18,0.05,-0.31,-0.31,-0.28
68.01,-0.56,-0.26,-0.49,-0.16,0.16,0.03,-0.40,-0.33,-0.29
68.69,-0.59,-0.28,-0.48,-0.13,0.13,0.01,-0.46,-0.35,-0.31
69.37,-0.62,-0.29,-0.46,-0.10,0.10,-0.01,-0.52,-0.36,-0.32
70.07,-0.56,-0.22,-0.45,-0.07,0.07,-0.03,-0.48,-0.37,-0.34
70.77,-0.50,-0.14,-0.43,-0.05,0.05,-0.05,-0.45,-0.38,-0.36
71.48,-0.43,-0.05,-0.42,-0.02,0.02,-0.07,-0.40,-0.40,-0.38
72.19,-0.38,0.02,-0.41,0.01,-0.01,-0.10,-0.38,-0.41,-0.39
72.91,-0.34,0.08,-0.40,0.03,-0.03,-0.12,-0.37,-0.44,-0.41
73.64,-0.30,0.14,-0.40,0.06,-0.06,-0.14,-0.36,-0.46,-0.43
74.38,-0.27,0.19,-0.40,0.09,-0.09,-0.17,-0.36,-0.49,-0.46
75.12,-0.27,0.21,-0.40,0.11,-0.11,-0.19,-0.38,-0.51,-0.48
75.87,-0.31,0.20,-0.40,0.14,-0.14,-0.22,-0.44,-0.54,-0.51
76.63,-0.37,0.17,-0.41,0.16,-0.16,-0.24,-0.53,-0.57,-0.54
77.40,-0.43,0.14,-0.42,0.19,-0.19,-0.27,-0.62,-0.61,-0.57
78.17,-0.53,0.07,-0.43,0.22,-0.22,-0.29,-0.75,-0.65,-0.60
78.95,-0.57,0.07,-0.43,0.26,-0.26,-0.32,-0.83,-0.69,-0.63
79.74,-0.57,0.10,-0.42,0.30,-0.30,-0.35,-0.87,-0.73,-0.67
80.54,-0.54,0.17,-0.42,0.35,-0.35,-0.38,-0.88,-0.76,-0.71
81.35,-0.51,0.25,-0.41,0.39,-0.39,-0.40,-0.90,-0.80,-0.75
82.16,-0.44,0.36,-0.40,0.44,-0.44,-0.43,-0.88,-0.84,-0.80
82.98,-0.37,0.48,-0.39,0.50,-0.50,-0.46,-0.87,-0.89,-0.85
83.81,-0.31,0.59,-0.39,0.56,-0.56,-0.49,-0.87,-0.95,-0.90
84.65,-0.26,0.70,-0.38,0.62,-0.62,-0.52,-0.88,-1.00,-0.95
85.50,-0.23,0.78,-0.37,0.68,-0.68,-0.55,-0.90,-1.05,-1.01
86.35,-0.22,0.85,-0.36,0.73,-0.73,-0.58,-0.95,-1.09,-1.06
87.22,-0.25,0.87,-0.36,0.78,-0.78,-0.62,-1.03,-1.14,-1.12
88.09,-0.34,0.84,-0.36,0.83,-0.83,-0.65,-1.16,-1.19,-1.17
88.97,-0.44,0.79,-0.36,0.87,-0.87,-0.68,-1.31,-1.24,-1.23
89.86,-0.52,0.76,-0.37,0.91,-0.91,-0.71,-1.43,-1.29,-1.28
90.76,-0.52,0.81,-0.39,0.95,-0.95,-0.75,-1.47,-1.34,-1.33
91.66,-0.52,0.86,-0.41,0.98,-0.98,-0.78,-1.50,-1.40,-1.38
92.58,-0.50,0.93,-0.44,1.01,-1.01,-0.82,-1.51,-1.45,-1.42
93.51,-0.48,0.99,-0.46,1.04,-1.04,-0.85,-1.51,-1.50,-1.47
94.44,-0.43,1.08,-0.48,1.06,-1.06,-0.89,-1.49,-1.54,-1.51
95.39,-0.39,1.16,-0.49,1.09,-1.09,-0.92,-1.48,-1.58,-1.55
96.34,-0.40,1.19,-0.49,1.12,-1.12,-0.96,-1.52,-1.61,-1.59
97.30,-0.43,1.20,-0.49,1.15,-1.15,-1.00,-1.58,-1.64,-1.63
98.28,-0.48,1.19,-0.49,1.18,-1.18,-1.03,-1.66,-1.67,-1.66
99.26,-0.52,1.18,-0.49,1.21,-1.21,-1.07,-1.73,-1.70,-1.70
100.25,-0.56,1.18,-0.50,1.24,-1.24,-1.11,-1.79,-1.73,-1.74
101.25,-0.56,1.22,-0.52,1.27,-1.27,-1.15,-1.82,-1.78,-1.77
102.27,-0.53,1.28,-0.53,1.30,-1.30,-1.18,-1.82,-1.83,-1.81
103.29,-0.51,1.34,-0.55,1.33,-1.33,-1.22,-1.84,-1.88,-1.85
104.32,-0.48,1.41,-0.55,1.37,-1.37,-1.26,-1.85,-1.92,-1.88
105.37,-0.53,1.39,-0.54,1.41,-1.41,-1.30,-1.94,-1.95,-1.92
106.42,-0.57,1.38,-0.52,1.45,-1.45,-1.33,-2.02,-1.97,-1.95
107.48,-0.58,1.40,-0.50,1.49,-1.49,-1.37,-2.07,-1.99,-1.98
108.56,-0.58,1.43,-0.47,1.54,-1.54,-1.41,-2.11,-2.01,-2.00
109.64,-0.56,1.47,-0.45,1.58,-1.58,-1.44,-2.14,-2.03,-2.03
110.74,-0.51,1.54,-0.43,1.62,-1.62,-1.47,-2.13,-2.05,-2.04
111.85,-0.42,1.65,-0.42,1.66,-1.66,-1.51,-2.08,-2.08,-2.06
112.97,-0.30,1.78,-0.41,1.70,-1.70,-1.54,-1.99,-2.11,-2.08
114.10,-0.21,1.88,-0.40,1.73,-1.73,-1.57,-1.93,-2.13,-2.09
115.24,-0.23,1.87,-0.39,1.75,-1.75,-1.60,-1.98,-2.14,-2.10
116.39,-0.27,1.84,-0.37,1.77,-1.77,-1.63,-2.04,-2.14,-2.11
117.55,-0.36,1.76,-0.35,1.79,-1.79,-1.65,-2.15,-2.14,-2.12
118.73,-0.43,1.69,-0.34,1.80,-1.80,-1.68,-2.22,-2.14,-2.12
119.92,-0.49,1.64,-0.34,1.80,-1.80,-1.70,-2.29,-2.14,-2.13
121.12,-0.50,1.64,-0.35,1.80,-1.80,-1.72,-2.30,-2.15,-2.13
122.33,-0.48,1.66,-0.37,1.79,-1.79,-1.74,-2.27,-2.16,-2.14
123.55,-0.40,1.75,-0.39,1.78,-1.78,-1.76,-2.18,-2.17,-2.14
124.79,-0.30,1.85,-0.42,1.77,-1.77,-1.77,-2.07,-2.19,-2.15
126.03,-0.31,1.85,-0.44,1.76,-1.76,-1.79,-2.06,-2.20,-2.15
127.29,-0.32,1.84,-0.46,1.74,-1.74,-1.80,-2.06,-2.20,-2.16
128.57,-0.41,1.76,-0.46,1.73,-1.73,-1.81,-2.14,-2.19,-2.16
129.85,-0.49,1.68,-0.46,1.72,-1.72,-1.81,-2.21,-2.18,-2.17
131.15,-0.57,1.60,-0.46,1.71,-1.71,-1.82,-2.28,-2.18,-2.17
132.46,-0.57,1.61,-0.47,1.70,-1.70,-1.82,-2.27,-2.18,-2.18
133.79,-0.57,1.61,-0.49,1.70,-1.70,-1.82,-2.26,-2.18,-2.18
135.12,-0.55,1.64,-0.51,1.69,-1.69,-1.82,-2.24,-2.20,-2.18
136.48,-0.52,1.67,-0.53,1.69,-1.69,-1.82,-2.20,-2.21,-2.19
137.84,-0.50,1.70,-0.54,1.69,-1.69,-1.82,-2.18,-2.23,-2.20
139.22,-0.48,1.73,-0.55,1.69,-1.69,-1.81,-2.17,-2.25,-2.20
140.61,-0.49,1.72,-0.55,1.70,-1.70,-1.81,-2.18,-2.25,-2.21
142.02,-0.53,1.69,-0.54,1.70,-1.70,-1.81,-2.23,-2.24,-2.22
143.44,-0.61,1.62,-0.52,1.71,-1.71,-1.80,-2.32,-2.23,-2.23
144.87,-0.62,1.63,-0.52,1.72,-1.72,-1.79,-2.34,-2.24,-2.24
146.32,-0.60,1.66,-0.53,1.72,-1.72,-1.79,-2.32,-2.25,-2.26
147.78,-0.56,1.71,-0.55,1.73,-1.73,-1.78,-2.28,-2.28,-2.27
149.26,-0.52,1.77,-0.58,1.73,-1.73,-1.77,-2.24,-2.31,-2.29
150.75,-0.53,1.78,-0.61,1.73,-1.73,-1.77,-2.25,-2.34,-2.30
152.26,-0.53,1.79,-0.64,1.72,-1.72,-1.76,-2.25,-2.36,-2.32
153.78,-0.55,1.79,-0.67,1.71,-1.71,-1.76,-2.26,-2.38,-2.34
155.32,-0.60,1.76,-0.69,1.71,-1.71,-1.75,-2.30,-2.40,-2.36
156.88,-0.72,1.66,-0.71,1.70,-1.70,-1.75,-2.42,-2.41,-2.38
158.44,-0.84,1.56,-0.73,1.69,-1.69,-1.75,-2.53,-2.42,-2.39
160.03,-0.94,1.47,-0.75,1.68,-1.68,-1.75,-2.61,-2.43,-2.41
161.63,-0.95,1.48,-0.78,1.66,-1.66,-1.74,-2.61,-2.44,-2.43
163.24,-0.93,1.51,-0.81,1.64,-1.64,-1.75,-2.57,-2.46,-2.44
164.88,-0.83,1.63,-0.85,1.62,-1.62,-1.75,-2.45,-2.47,-2.45
166.53,-0.77,1.70,-0.89,1.60,-1.60,-1.75,-2.37,-2.49,-2.46
168.19,-0.80,1.67,-0.92,1.58,-1.58,-1.75,-2.37,-2.50,-2.47
169.87,-0.83,1.65,-0.96,1.56,-1.56,-1.76,-2.38,-2.51,-2.48
171.57,-0.88,1.60,-0.98,1.54,-1.54,-1.76,-2.41,-2.52,-2.48
173.29,-0.94,1.54,-1.00,1.52,-1.52,-1.77,-2.46,-2.52,-2.48
175.02,-1.01,1.47,-1.01,1.50,-1.50,-1.78,-2.51,-2.51,-2.48
176.77,-1.06,1.42,-1.01,1.49,-1.49,-1.79,-2.55,-2.50,-2.47
178.54,-1.11,1.36,-1.01,1.49,-1.49,-1.80,-2.59,-2.49,-2.47
180.32,-1.11,1.36,-1.00,1.49,-1.49,-1.82,-2.60,-2.49,-2.46
182.13,-1.11,1.35,-1.00,1.50,-1.50,-1.83,-2.61,-2.50,-2.46
183.95,-1.06,1.39,-0.98,1.52,-1.52,-1.85,-2.57,-2.50,-2.45
185.79,-1.01,1.43,-0.95,1.54,-1.54,-1.87,-2.55,-2.49,-2.44
187.65,-0.93,1.50,-0.90,1.57,-1.57,-1.89,-2.50,-2.47,-2.43
189.52,-0.84,1.59,-0.84,1.61,-1.61,-1.91,-2.45,-2.46,-2.42
191.42,-0.73,1.69,-0.78,1.66,-1.66,-1.93,-2.39,-2.44,-2.41
193.33,-0.65,1.76,-0.72,1.71,-1.71,-1.95,-2.36,-2.43,-2.41
195.27,-0.58,1.82,-0.65,1.76,-1.76,-1.97,-2.34,-2.41,-2.40
197.22,-0.56,1.84,-0.58,1.81,-1.81,-2.00,-2.37,-2.39,-2.39
199.19,-0.52,1.87,-0.52,1.86,-1.86,-2.02,-2.38,-2.38,-2.39
201.18,-0.45,1.94,-0.48,1.90,-1.90,-2.05,-2.35,-2.38,-2.38
203.19,-0.40,1.98,-0.43,1.94,-1.94,-2.08,-2.34,-2.38,-2.38
205.23,-0.37,2.01,-0.40,1.98,-1.98,-2.11,-2.34,-2.37,-2.38
207.28,-0.36,2.02,-0.36,2.00,-2.00,-2.13,-2.36,-2.37,-2.37
209.35,-0.39,1.98,-0.34,2.03,-2.03,-2.16,-2.41,-2.36,-2.37
211.44,-0.35,2.02,-0.32,2.04,-2.04,-2.19,-2.39,-2.36,-2.36
213.56,-0.28,2.08,-0.31,2.06,-2.06,-2.22,-2.34,-2.37,-2.36
215.69,-0.29,2.07,-0.30,2.07,-2.07,-2.25,-2.36,-2.37,-2.35
217.85,-0.30,2.05,-0.28,2.08,-2.08,-2.27,-2.38,-2.36,-2.35
220.03,-0.28,2.07,-0.26,2.09,-2.09,-2.30,-2.37,-2.35,-2.34
222.23,-0.25,2.09,-0.24,2.11,-2.11,-2.33,-2.35,-2.35,-2.34
224.45,-0.19,2.14,-0.22,2.12,-2.12,-2.35,-2.31,-2.34,-2.33
226.70,-0.16,2.16,-0.19,2.14,-2.14,-2.38,-2.30,-2.33,-2.32
228.96,-0.19,2.12,-0.16,2.16,-2.16,-2.40,-2.34,-2.32,-2.31
231.25,-0.20,2.10,-0.13,2.18,-2.18,-2.42,-2.37,-2.31,-2.30
233.57,-0.19,2.10,-0.10,2.20,-2.20,-2.44,-2.39,-2.29,-2.29
235.90,-0.10,2.18,-0.06,2.22,-2.22,-2.45,-2.32,-2.28,-2.28
238.26,-0.01,2.26,-0.03,2.24,-2.24,-2.47,-2.25,-2.27,-2.26
240.64,0.05,2.30,0.01,2.27,-2.27,-2.48,-2.21,-2.25,-2.25
243.05,0.09,2.33,0.05,2.29,-2.29,-2.49,-2.19,-2.24,-2.23
245.48,0.10,2.32,0.09,2.31,-2.31,-2.49,-2.21,-2.22,-2.22
247.93,0.12,2.33,0.12,2.33,-2.33,-2.50,-2.20,-2.21,-2.20
250.41,0.14,2.33,0.15,2.34,-2.34,-2.50,-2.20,-2.20,-2.19
252.92,0.18,2.36,0.17,2.36,-2.36,-2.50,-2.17,-2.18,-2.18
255.45,0.22,2.39,0.20,2.37,-2.37,-2.49,-2.14,-2.17,-2.16
258.00,0.23,2.39,0.22,2.38,-2.38,-2.48,-2.14,-2.16,-2.15
260.58,0.24,2.39,0.23,2.38,-2.38,-2.47,-2.14,-2.15,-2.14
263.19,0.24,2.38,0.25,2.38,-2.38,-2.46,-2.14,-2.14,-2.14
265.82,0.24,2.37,0.25,2.38,-2.38,-2.45,-2.14,-2.13,-2.13
268.48,0.24,2.36,0.26,2.37,-2.37,-2.43,-2.13,-2.12,-2.12
271.16,0.24,2.35,0.26,2.36,-2.36,-2.41,-2.12,-2.10,-2.11
273.87,0.24,2.34,0.26,2.35,-2.35,-2.39,-2.10,-2.09,-2.10
276.61,0.24,2.33,0.25,2.33,-2.33,-2.36,-2.09,-2.08,-2.09
279.38,0.24,2.31,0.25,2.32,-2.32,-2.34,-2.07,-2.07,-2.07
282.17,0.26,2.32,0.25,2.30,-2.30,-2.31,-2.04,-2.05,-2.05
284.99,0.31,2.35,0.24,2.29,-2.29,-2.29,-1.97,-2.04,-2.04
287.84,0.31,2.33,0.24,2.27,-2.27,-2.26,-1.96,-2.03,-2.02
290.72,0.27,2.27,0.24,2.26,-2.26,-2.23,-1.99,-2.02,-2.00
293.63,0.15,2.13,0.25,2.25,-2.25,-2.20,-2.09,-2.00,-1.98
296.57,0.20,2.16,0.26,2.24,-2.24,-2.17,-2.04,-1.98,-1.96
299.53,0.24,2.18,0.28,2.24,-2.24,-2.15,-2.00,-1.96,-1.94
302.53,0.28,2.20,0.30,2.24,-2.24,-2.12,-1.96,-1.95,-1.92
305.55,0.31,2.21,0.32,2.25,-2.25,-2.09,-1.94,-1.93,-1.90
308.61,0.33,2.22,0.35,2.26,-2.26,-2.06,-1.93,-1.91,-1.89
311.69,0.35,2.22,0.38,2.27,-2.27,-2.03,-1.92,-1.89,-1.87
314.81,0.36,2.22,0.41,2.29,-2.29,-2.01,-1.92,-1.87,-1.86
317.96,0.43,2.28,0.44,2.30,-2.30,-1.98,-1.87,-1.86,-1.84
321.14,0.51,2.34,0.47,2.31,-2.31,-1.96,-1.80,-1.84,-1.83
324.35,0.57,2.39,0.50,2.32,-2.32,-1.93,-1.74,-1.81,-1.82
327.59,0.59,2.39,0.53,2.32,-2.32,-1.91,-1.73,-1.79,-1.80
330.87,0.57,2.36,0.54,2.31,-2.31,-1.89,-1.74,-1.77,-1.78
334.18,0.58,2.35,0.55,2.31,-2.31,-1.87,-1.72,-1.76,-1.76
337.52,0.61,2.35,0.55,2.29,-2.29,-1.85,-1.68,-1.74,-1.74
340.90,0.58,2.30,0.55,2.28,-2.28,-1.83,-1.69,-1.72,-1.72
344.30,0.53,2.22,0.56,2.25,-2.25,-1.81,-1.72,-1.70,-1.69
347.75,0.51,2.17,0.56,2.23,-2.23,-1.80,-1.72,-1.67,-1.66
351.23,0.49,2.13,0.56,2.21,-2.21,-1.78,-1.71,-1.64,-1.63
354.74,0.51,2.12,0.56,2.18,-2.18,-1.77,-1.67,-1.62,-1.61
358.28,0.53,2.11,0.55,2.15,-2.15,-1.76,-1.62,-1.60,-1.58
361.87,0.52,2.08,0.55,2.13,-2.13,-1.75,-1.60,-1.57,-1.55
365.49,0.52,2.05,0.56,2.11,-2.11,-1.74,-1.59,-1.55,-1.53
369.14,0.57,2.08,0.57,2.09,-2.09,-1.74,-1.52,-1.53,-1.51
372.83,0.61,2.10,0.57,2.09,-2.09,-1.73,-1.47,-1.51,-1.49
376.56,0.65,2.12,0.59,2.08,-2.08,-1.73,-1.43,-1.49,-1.47
380.33,0.66,2.11,0.60,2.08,-2.08,-1.72,-1.42,-1.48,-1.45
