frequency,raw,error,smoothed,error_smoothed,equalization,equalized_raw,equalized_smoothed,target
27.23,-4.01,-2.58,-4.02,-2.58,2.58,-1.43,-1.44,-1.43
27.50,-3.97,-2.54,-3.97,-2.54,2.54,-1.43,-1.43,-1.43
27.77,-3.93,-2.51,-3.93,-2.50,2.50,-1.43,-1.43,-1.42
28.05,-3.88,-2.46,-3.88,-2.46,2.46,-1.42,-1.42,-1.41
28.33,-3.82,-2.41,-3.84,-2.42,2.42,-1.40,-1.41,-1.41
28.62,-3.78,-2.37,-3.79,-2.38,2.38,-1.40,-1.41,-1.40
28.90,-3.74,-2.34,-3.74,-2.34,2.34,-1.40,-1.40,-1.40
29.19,-3.71,-2.31,-3.69,-2.30,2.30,-1.41,-1.40,-1.40
29.48,-3.67,-2.27,-3.65,-2.25,2.25,-1.41,-1.40,-1.39
29.78,-3.61,-2.22,-3.61,-2.21,2.21,-1.40,-1.40,-1.39
30.08,-3.54,-2.15,-3.56,-2.16,2.16,-1.38,-1.40,-1.39
30.38,-3.49,-2.10,-3.51,-2.12,2.12,-1.37,-1.40,-1.39
30.68,-3.45,-2.06,-3.46,-2.07,2.07,-1.38,-1.40,-1.39
30.99,-3.42,-2.03,-3.41,-2.02,2.02,-1.40,-1.39,-1.39
31.30,-3.38,-1.99,-3.36,-1.97,1.97,-1.41,-1.39,-1.39
31.61,-3.33,-1.94,-3.31,-1.92,1.92,-1.41,-1.39,-1.39
31.93,-3.28,-1.90,-3.25,-1.86,1.86,-1.41,-1.39,-1.38
32.24,-3.23,-1.85,-3.20,-1.81,1.81,-1.42,-1.39,-1.38
32.57,-3.16,-1.78,-3.14,-1.76,1.76,-1.40,-1.38,-1.38
32.89,-3.08,-1.70,-3.08,-1.71,1.71,-1.37,-1.38,-1.37
33.22,-3.03,-1.66,-3.03,-1.66,1.66,-1.37,-1.37,-1.37
33.55,-2.98,-1.61,-2.97,-1.61,1.61,-1.37,-1.37,-1.36
33.89,-2.92,-1.56,-2.92,-1.56,1.56,-1.35,-1.36,-1.36
34.23,-2.86,-1.51,-2.87,-1.52,1.52,-1.33,-1.35,-1.35
34.57,-2.81,-1.47,-2.83,-1.49,1.49,-1.32,-1.34,-1.34
34.92,-2.76,-1.43,-2.79,-1.46,1.46,-1.30,-1.33,-1.33
35.27,-2.74,-1.42,-2.75,-1.43,1.43,-1.31,-1.32,-1.32
35.62,-2.71,-1.40,-2.72,-1.41,1.41,-1.30,-1.31,-1.31
35.97,-2.67,-1.37,-2.69,-1.39,1.39,-1.28,-1.31,-1.30
36.33,-2.66,-1.37,-2.67,-1.37,1.37,-1.28,-1.30,-1.29
36.70,-2.66,-1.38,-2.65,-1.36,1.36,-1.29,-1.29,-1.28
37.06,-2.65,-1.38,-2.63,-1.35,1.35,-1.29,-1.28,-1.27
37.43,-2.65,-1.39,-2.62,-1.35,1.35,-1.30,-1.27,-1.26
37.81,-2.63,-1.38,-2.60,-1.34,1.34,-1.28,-1.26,-1.25
38.19,-2.62,-1.38,-2.59,-1.34,1.34,-1.28,-1.25,-1.24
38.57,-2.59,-1.35,-2.58,-1.34,1.34,-1.25,-1.24,-1.23
38.95,-2.57,-1.34,-2.57,-1.34,1.34,-1.23,-1.24,-1.23
39.34,-2.55,-1.33,-2.56,-1.34,1.34,-1.21,-1.23,-1.22
39.74,-2.53,-1.31,-2.55,-1.33,1.33,-1.20,-1.22,-1.22
40.14,-2.53,-1.32,-2.55,-1.33,1.33,-1.20,-1.22,-1.21
40.54,-2.53,-1.32,-2.53,-1.33,1.33,-1.20,-1.21,-1.21
40.94,-2.53,-1.32,-2.53,-1.32,1.32,-1.21,-1.20,-1.20
41.35,-2.53,-1.33,-2.52,-1.32,1.32,-1.21,-1.20,-1.20
41.76,-2.52,-1.32,-2.51,-1.31,1.31,-1.21,-1.20,-1.20
42.18,-2.51,-1.31,-2.50,-1.30,1.30,-1.20,-1.20,-1.20
42.60,-2.49,-1.29,-2.50,-1.29,1.29,-1.19,-1.20,-1.20
43.03,-2.48,-1.28,-2.49,-1.28,1.28,-1.20,-1.20,-1.20
43.46,-2.47,-1.27,-2.47,-1.27,1.27,-1.20,-1.20,-1.20
43.90,-2.46,-1.26,-2.45,-1.25,1.25,-1.21,-1.20,-1.20
44.33,-2.45,-1.25,-2.43,-1.23,1.23,-1.22,-1.20,-1.20
44.78,-2.43,-1.23,-2.41,-1.20,1.20,-1.22,-1.20,-1.20
45.23,-2.41,-1.21,-2.38,-1.18,1.18,-1.23,-1.21,-1.20
45.68,-2.37,-1.16,-2.36,-1.14,1.14,-1.22,-1.21,-1.21
46.13,-2.34,-1.13,-2.33,-1.11,1.11,-1.23,-1.22,-1.21
46.60,-2.28,-1.07,-2.30,-1.07,1.07,-1.20,-1.22,-1.21
47.06,-2.23,-1.01,-2.26,-1.03,1.03,-1.19,-1.23,-1.21
47.53,-2.19,-0.97,-2.22,-0.99,0.99,-1.20,-1.23,-1.22
48.01,-2.16,-0.94,-2.18,-0.94,0.94,-1.21,-1.23,-1.22
48.49,-2.14,-0.92,-2.13,-0.90,0.90,-1.24,-1.23,-1.22
48.97,-2.11,-0.88,-2.08,-0.85,0.85,-1.26,-1.23,-1.22
49.46,-2.09,-0.86,-2.03,-0.80,0.80,-1.29,-1.23,-1.23
49.96,-2.03,-0.80,-1.98,-0.75,0.75,-1.28,-1.23,-1.23
50.46,-1.96,-0.73,-1.93,-0.70,0.70,-1.26,-1.23,-1.23
50.96,-1.89,-0.66,-1.88,-0.65,0.65,-1.24,-1.23,-1.22
51.47,-1.81,-0.59,-1.83,-0.61,0.61,-1.20,-1.23,-1.22
51.99,-1.76,-0.54,-1.79,-0.57,0.57,-1.19,-1.22,-1.22
52.51,-1.71,-0.49,-1.75,-0.54,0.54,-1.17,-1.22,-1.22
53.03,-1.69,-0.48,-1.72,-0.51,0.51,-1.18,-1.21,-1.21
53.56,-1.67,-0.46,-1.69,-0.49,0.49,-1.18,-1.20,-1.21
54.10,-1.66,-0.46,-1.67,-0.47,0.47,-1.19,-1.20,-1.20
54.64,-1.64,-0.44,-1.65,-0.46,0.46,-1.18,-1.19,-1.20
55.18,-1.63,-0.44,-1.65,-0.45,0.45,-1.17,-1.19,-1.19
55.74,-1.63,-0.44,-1.65,-0.45,0.45,-1.18,-1.19,-1.19
56.29,-1.63,-0.45,-1.65,-0.45,0.45,-1.17,-1.19,-1.18
56.86,-1.65,-0.47,-1.65,-0.46,0.46,-1.19,-1.19,-1.18
57.42,-1.67,-0.49,-1.65,-0.46,0.46,-1.21,-1.19,-1.17
58.00,-1.68,-0.51,-1.65,-0.46,0.46,-1.22,-1.19,-1.17
58.58,-1.69,-0.52,-1.64,-0.46,0.46,-1.23,-1.19,-1.17
59.16,-1.68,-0.51,-1.64,-0.45,0.45,-1.23,-1.18,-1.17
59.76,-1.67,-0.50,-1.63,-0.44,0.44,-1.22,-1.18,-1.17
60.35,-1.64,-0.47,-1.61,-0.43,0.43,-1.21,-1.18,-1.17
60.96,-1.62,-0.45,-1.60,-0.41,0.41,-1.20,-1.18,-1.17
61.57,-1.57,-0.40,-1.58,-0.40,0.40,-1.17,-1.19,-1.17
62.18,-1.53,-0.35,-1.56,-0.37,0.37,-1.15,-1.19,-1.17
62.80,-1.50,-0.32,-1.54,-0.35,0.35,-1.15,-1.19,-1.18
63.43,-1.49,-0.30,-1.52,-0.33,0.33,-1.16,-1.19,-1.19
64.07,-1.49,-0.29,-1.50,-0.30,0.30,-1.19,-1.20,-1.20
64.71,-1.48,-0.27,-1.48,-0.27,0.27,-1.20,-1.20,-1.20
65.35,-1.48,-0.26,-1.46,-0.25,0.25,-1.23,-1.21,-1.21
66.01,-1.46,-0.23,-1.45,-0.22,0.22,-1.23,-1.22,-1.22
66.67,-1.44,-0.20,-1.43,-0.20,0.20,-1.24,-1.23,-1.24
67.33,-1.43,-0.18,-1.43,-0.18,0.18,-1.25,-1.25,-1.25
68.01,-1.42,-0.16,-1.42,-0.16,0.16,-1.26,-1.26,-1.26
68.69,-1.41,-0.13,-1.41,-0.14,0.14,-1.27,-1.28,-1.28
69.37,-1.40,-0.10,-1.41,-0.11,0.11,-1.28,-1.29,-1.29
70.07,-1.40,-0.09,-1.40,-0.09,0.09,-1.31,-1.31,-1.31
70.77,-1.40,-0.07,-1.40,-0.07,0.07,-1.33,-1.33,-1.33
71.48,-1.39,-0.04,-1.39,-0.05,0.05,-1.34,-1.35,-1.34
72.19,-1.39,-0.03,-1.39,-0.02,0.02,-1.37,-1.37,-1.36
72.91,-1.39,-0.01,-1.38,0.01,-0.01,-1.40,-1.39,-1.38
73.64,-1.38,0.03,-1.37,0.04,-0.04,-1.41,-1.41,-1.40
74.38,-1.37,0.06,-1.36,0.07,-0.07,-1.44,-1.43,-1.43
75.12,-1.37,0.08,-1.35,0.10,-0.10,-1.47,-1.46,-1.45
75.87,-1.37,0.11,-1.35,0.14,-0.14,-1.51,-1.49,-1.48
76.63,-1.35,0.16,-1.33,0.18,-0.18,-1.53,-1.51,-1.51
77.40,-1.34,0.20,-1.32,0.22,-0.22,-1.56,-1.54,-1.54
78.17,-1.31,0.26,-1.31,0.26,-0.26,-1.57,-1.57,-1.57
78.95,-1.29,0.32,-1.30,0.31,-0.31,-1.59,-1.61,-1.60
79.74,-1.28,0.36,-1.29,0.35,-0.35,-1.63,-1.65,-1.64
80.54,-1.28,0.40,-1.29,0.40,-0.40,-1.68,-1.69,-1.68
81.35,-1.28,0.44,-1.29,0.44,-0.44,-1.72,-1.73,-1.72
82.16,-1.28,0.49,-1.29,0.49,-0.49,-1.77,-1.77,-1.77
82.98,-1.28,0.54,-1.29,0.53,-0.53,-1.81,-1.82,-1.82
83.81,-1.28,0.59,-1.29,0.58,-0.58,-1.86,-1.87,-1.87
84.65,-1.28,0.64,-1.30,0.62,-0.62,-1.90,-1.92,-1.92
85.50,-1.31,0.67,-1.31,0.66,-0.66,-1.97,-1.97,-1.98
86.35,-1.35,0.68,-1.33,0.70,-0.70,-2.05,-2.03,-2.03
87.22,-1.37,0.72,-1.35,0.74,-0.74,-2.11,-2.09,-2.09
88.09,-1.37,0.77,-1.36,0.78,-0.78,-2.14,-2.14,-2.14
88.97,-1.37,0.83,-1.38,0.81,-0.81,-2.18,-2.19,-2.19
89.86,-1.38,0.87,-1.39,0.85,-0.85,-2.23,-2.24,-2.25
90.76,-1.41,0.89,-1.41,0.88,-0.88,-2.29,-2.29,-2.30
91.66,-1.44,0.91,-1.42,0.92,-0.92,-2.36,-2.34,-2.35
92.58,-1.45,0.94,-1.44,0.96,-0.96,-2.40,-2.39,-2.39
93.51,-1.47,0.97,-1.45,0.99,-0.99,-2.46,-2.44,-2.44
94.44,-1.47,1.01,-1.45,1.03,-1.03,-2.49,-2.48,-2.48
95.39,-1.47,1.05,-1.46,1.06,-1.06,-2.53,-2.52,-2.52
96.34,-1.47,1.09,-1.46,1.10,-1.10,-2.56,-2.56,-2.56
97.30,-1.47,1.13,-1.47,1.13,-1.13,-2.60,-2.60,-2.60
98.28,-1.47,1.17,-1.48,1.16,-1.16,-2.63,-2.64,-2.63
99.26,-1.47,1.20,-1.48,1.20,-1.20,-2.66,-2.68,-2.67
100.25,-1.48,1.23,-1.49,1.23,-1.23,-2.71,-2.72,-2.71
101.25,-1.49,1.26,-1.49,1.26,-1.26,-2.75,-2.75,-2.74
102.27,-1.49,1.29,-1.50,1.29,-1.29,-2.78,-2.79,-2.78
103.29,-1.49,1.33,-1.50,1.32,-1.32,-2.81,-2.82,-2.82
104.32,-1.49,1.36,-1.51,1.35,-1.35,-2.84,-2.86,-2.85
105.37,-1.51,1.38,-1.51,1.38,-1.38,-2.89,-2.89,-2.89
106.42,-1.54,1.38,-1.51,1.41,-1.41,-2.95,-2.92,-2.92
107.48,-1.55,1.40,-1.51,1.44,-1.44,-2.98,-2.95,-2.95
108.56,-1.55,1.42,-1.51,1.46,-1.46,-3.01,-2.97,-2.97
109.64,-1.54,1.46,-1.51,1.49,-1.49,-3.02,-3.00,-2.99
110.74,-1.53,1.49,-1.51,1.51,-1.51,-3.04,-3.01,-3.01
111.85,-1.51,1.52,-1.51,1.53,-1.53,-3.03,-3.03,-3.03
112.97,-1.49,1.56,-1.51,1.54,-1.54,-3.03,-3.05,-3.05
114.10,-1.49,1.57,-1.51,1.55,-1.55,-3.04,-3.06,-3.06
115.24,-1.49,1.58,-1.51,1.56,-1.56,-3.05,-3.07,-3.07
116.39,-1.49,1.59,-1.52,1.56,-1.56,-3.05,-3.08,-3.08
117.55,-1.49,1.60,-1.53,1.57,-1.57,-3.05,-3.09,-3.09
118.73,-1.50,1.59,-1.54,1.56,-1.56,-3.06,-3.10,-3.09
119.92,-1.54,1.56,-1.55,1.56,-1.56,-3.09,-3.10,-3.10
121.12,-1.59,1.51,-1.56,1.55,-1.55,-3.13,-3.11,-3.10
122.33,-1.61,1.50,-1.58,1.54,-1.54,-3.14,-3.12,-3.11
123.55,-1.62,1.49,-1.60,1.53,-1.53,-3.14,-3.12,-3.11
124.79,-1.63,1.49,-1.61,1.52,-1.52,-3.14,-3.13,-3.12
126.03,-1.64,1.49,-1.63,1.50,-1.50,-3.14,-3.13,-3.12
127.29,-1.65,1.48,-1.64,1.49,-1.49,-3.14,-3.13,-3.13
128.57,-1.66,1.47,-1.65,1.49,-1.49,-3.14,-3.14,-3.13
129.85,-1.67,1.47,-1.66,1.48,-1.48,-3.15,-3.14,-3.14
131.15,-1.67,1.47,-1.66,1.48,-1.48,-3.15,-3.14,-3.14
132.46,-1.66,1.49,-1.67,1.48,-1.48,-3.14,-3.15,-3.14
133.79,-1.65,1.50,-1.67,1.49,-1.49,-3.14,-3.15,-3.15
135.12,-1.65,1.51,-1.67,1.50,-1.50,-3.14,-3.16,-3.15
136.48,-1.65,1.51,-1.66,1.51,-1.51,-3.16,-3.17,-3.16
137.84,-1.65,1.52,-1.66,1.52,-1.52,-3.17,-3.18,-3.16
139.22,-1.65,1.52,-1.65,1.54,-1.54,-3.19,-3.19,-3.17
140.61,-1.65,1.53,-1.63,1.57,-1.57,-3.22,-3.20,-3.18
142.02,-1.64,1.55,-1.61,1.60,-1.60,-3.23,-3.21,-3.19
143.44,-1.63,1.57,-1.59,1.63,-1.63,-3.26,-3.22,-3.20
144.87,-1.62,1.59,-1.57,1.66,-1.66,-3.28,-3.23,-3.21
146.32,-1.59,1.64,-1.55,1.69,-1.69,-3.28,-3.24,-3.23
147.78,-1.57,1.67,-1.53,1.72,-1.72,-3.29,-3.25,-3.24
149.26,-1.52,1.74,-1.52,1.75,-1.75,-3.27,-3.27,-3.26
150.75,-1.46,1.82,-1.51,1.77,-1.77,-3.23,-3.28,-3.27
152.26,-1.42,1.87,-1.51,1.80,-1.80,-3.21,-3.30,-3.29
153.78,-1.41,1.90,-1.50,1.81,-1.81,-3.22,-3.32,-3.31
155.32,-1.45,1.88,-1.51,1.83,-1.83,-3.28,-3.34,-3.33
156.88,-1.50,1.85,-1.52,1.84,-1.84,-3.34,-3.35,-3.35
158.44,-1.54,1.83,-1.53,1.84,-1.84,-3.38,-3.37,-3.36
160.03,-1.57,1.81,-1.54,1.85,-1.85,-3.41,-3.39,-3.38
161.63,-1.58,1.82,-1.56,1.85,-1.85,-3.43,-3.41,-3.40
163.24,-1.60,1.81,-1.58,1.85,-1.85,-3.45,-3.43,-3.41
164.88,-1.63,1.79,-1.59,1.85,-1.85,-3.48,-3.44,-3.42
166.53,-1.65,1.79,-1.60,1.85,-1.85,-3.50,-3.45,-3.43
168.19,-1.65,1.79,-1.60,1.85,-1.85,-3.50,-3.46,-3.44
169.87,-1.64,1.81,-1.60,1.86,-1.86,-3.50,-3.46,-3.45
171.57,-1.63,1.82,-1.60,1.86,-1.86,-3.49,-3.46,-3.45
173.29,-1.61,1.84,-1.59,1.87,-1.87,-3.48,-3.46,-3.45
175.02,-1.57,1.88,-1.58,1.87,-1.87,-3.44,-3.45,-3.45
176.77,-1.54,1.91,-1.57,1.88,-1.88,-3.42,-3.45,-3.44
178.54,-1.51,1.93,-1.56,1.89,-1.89,-3.39,-3.44,-3.44
180.32,-1.50,1.93,-1.55,1.89,-1.89,-3.39,-3.44,-3.43
182.13,-1.49,1.94,-1.55,1.89,-1.89,-3.38,-3.44,-3.42
183.95,-1.51,1.91,-1.54,1.89,-1.89,-3.40,-3.43,-3.42
185.79,-1.53,1.88,-1.53,1.89,-1.89,-3.42,-3.42,-3.41
187.65,-1.55,1.85,-1.53,1.89,-1.89,-3.44,-3.41,-3.40
189.52,-1.56,1.83,-1.52,1.89,-1.89,-3.44,-3.41,-3.39
191.42,-1.56,1.83,-1.52,1.88,-1.88,-3.44,-3.40,-3.38
193.33,-1.55,1.83,-1.51,1.88,-1.88,-3.43,-3.39,-3.38
195.27,-1.54,1.83,-1.51,1.88,-1.88,-3.42,-3.39,-3.37
197.22,-1.53,1.84,-1.51,1.88,-1.88,-3.40,-3.38,-3.36
199.19,-1.53,1.83,-1.50,1.87,-1.87,-3.40,-3.38,-3.36
201.18,-1.49,1.87,-1.49,1.88,-1.88,-3.36,-3.37,-3.35
203.19,-1.43,1.92,-1.49,1.88,-1.88,-3.30,-3.36,-3.35
205.23,-1.42,1.93,-1.48,1.88,-1.88,-3.30,-3.36,-3.35
207.28,-1.44,1.90,-1.47,1.88,-1.88,-3.32,-3.35,-3.34
209.35,-1.45,1.89,-1.46,1.88,-1.88,-3.33,-3.34,-3.34
211.44,-1.47,1.87,-1.46,1.88,-1.88,-3.35,-3.33,-3.33
213.56,-1.47,1.86,-1.45,1.88,-1.88,-3.35,-3.33,-3.33
215.69,-1.47,1.86,-1.45,1.88,-1.88,-3.34,-3.32,-3.32
217.85,-1.47,1.85,-1.45,1.87,-1.87,-3.34,-3.32,-3.32
220.03,-1.46,1.86,-1.45,1.87,-1.87,-3.33,-3.32,-3.31
222.23,-1.46,1.85,-1.44,1.87,-1.87,-3.32,-3.31,-3.31
224.45,-1.45,1.85,-1.44,1.86,-1.86,-3.31,-3.31,-3.30
226.70,-1.42,1.87,-1.44,1.86,-1.86,-3.28,-3.30,-3.29
228.96,-1.42,1.86,-1.43,1.85,-1.85,-3.27,-3.29,-3.28
231.25,-1.42,1.85,-1.42,1.85,-1.85,-3.27,-3.27,-3.27
233.57,-1.42,1.84,-1.41,1.85,-1.85,-3.27,-3.25,-3.26
235.90,-1.42,1.83,-1.40,1.85,-1.85,-3.26,-3.24,-3.25
238.26,-1.40,1.83,-1.39,1.84,-1.84,-3.24,-3.23,-3.23
240.64,-1.38,1.84,-1.38,1.84,-1.84,-3.22,-3.22,-3.22
243.05,-1.36,1.85,-1.37,1.84,-1.84,-3.19,-3.21,-3.20
245.48,-1.34,1.85,-1.36,1.83,-1.83,-3.17,-3.19,-3.19
247.93,-1.33,1.85,-1.35,1.83,-1.83,-3.16,-3.18,-3.17
250.41,-1.33,1.83,-1.34,1.83,-1.83,-3.15,-3.17,-3.16
252.92,-1.33,1.82,-1.33,1.82,-1.82,-3.15,-3.16,-3.14
255.45,-1.33,1.80,-1.32,1.82,-1.82,-3.15,-3.14,-3.13
258.00,-1.35,1.77,-1.32,1.82,-1.82,-3.16,-3.13,-3.12
260.58,-1.34,1.77,-1.31,1.81,-1.81,-3.15,-3.12,-3.11
263.19,-1.31,1.80,-1.30,1.81,-1.81,-3.11,-3.11,-3.10
265.82,-1.29,1.81,-1.30,1.80,-1.80,-3.09,-3.10,-3.10
268.48,-1.28,1.81,-1.29,1.80,-1.80,-3.07,-3.09,-3.09
271.16,-1.27,1.81,-1.29,1.79,-1.79,-3.06,-3.08,-3.08
273.87,-1.27,1.80,-1.28,1.78,-1.78,-3.05,-3.06,-3.07
276.61,-1.27,1.79,-1.27,1.78,-1.78,-3.04,-3.05,-3.06
279.38,-1.28,1.76,-1.27,1.77,-1.77,-3.05,-3.04,-3.04
282.17,-1.27,1.76,-1.26,1.76,-1.76,-3.03,-3.02,-3.02
284.99,-1.26,1.75,-1.25,1.76,-1.76,-3.02,-3.01,-3.01
287.84,-1.24,1.75,-1.24,1.75,-1.75,-2.99,-2.99,-2.99
290.72,-1.22,1.75,-1.23,1.75,-1.75,-2.96,-2.97,-2.97
293.63,-1.22,1.73,-1.21,1.74,-1.74,-2.96,-2.96,-2.94
296.57,-1.21,1.72,-1.20,1.74,-1.74,-2.95,-2.94,-2.92
299.53,-1.20,1.71,-1.18,1.74,-1.74,-2.94,-2.92,-2.91
302.53,-1.19,1.70,-1.17,1.74,-1.74,-2.92,-2.90,-2.89
305.55,-1.17,1.70,-1.15,1.74,-1.74,-2.90,-2.88,-2.87
308.61,-1.15,1.71,-1.13,1.73,-1.73,-2.88,-2.87,-2.85
311.69,-1.12,1.72,-1.12,1.73,-1.73,-2.85,-2.85,-2.84
314.81,-1.09,1.74,-1.11,1.72,-1.72,-2.81,-2.83,-2.83
317.96,-1.07,1.74,-1.10,1.71,-1.71,-2.78,-2.81,-2.81
321.14,-1.07,1.73,-1.10,1.70,-1.70,-2.77,-2.80,-2.80
324.35,-1.07,1.72,-1.09,1.69,-1.69,-2.76,-2.78,-2.78
327.59,-1.07,1.70,-1.09,1.67,-1.67,-2.74,-2.77,-2.77
330.87,-1.08,1.67,-1.10,1.65,-1.65,-2.73,-2.75,-2.75
334.18,-1.10,1.63,-1.10,1.63,-1.63,-2.72,-2.73,-2.73
337.52,-1.12,1.59,-1.11,1.60,-1.60,-2.72,-2.71,-2.71
340.90,-1.13,1.56,-1.11,1.58,-1.58,-2.70,-2.69,-2.68
344.30,-1.14,1.52,-1.12,1.55,-1.55,-2.69,-2.67,-2.66
347.75,-1.15,1.48,-1.12,1.53,-1.53,-2.68,-2.65,-2.63
351.23,-1.16,1.45,-1.12,1.50,-1.50,-2.66,-2.62,-2.60
354.74,-1.16,1.42,-1.11,1.48,-1.48,-2.64,-2.59,-2.58
358.28,-1.14,1.41,-1.10,1.46,-1.46,-2.60,-2.56,-2.55
361.87,-1.12,1.40,-1.10,1.44,-1.44,-2.56,-2.54,-2.52
365.49,-1.10,1.40,-1.09,1.42,-1.42,-2.51,-2.51,-2.50
369.14,-1.07,1.41,-1.09,1.40,-1.40,-2.46,-2.49,-2.48
372.83,-1.05,1.41,-1.09,1.38,-1.38,-2.42,-2.47,-2.45
376.56,-1.04,1.40,-1.09,1.35,-1.35,-2.39,-2.45,-2.44
380.33,-1.05,1.37,-1.10,1.33,-1.33,-2.38,-2.43,-2.42
384.13,-1.07,1.34,-1.11,1.31,-1.31,-2.38,-2.42,-2.41
387.97,-1.10,1.30,-1.12,1.28,-1.28,-2.38,-2.41,-2.40
391.85,-1.14,1.25,-1.14,1.26,-1.26,-2.39,-2.40,-2.39
395.77,-1.20,1.18,-1.16,1.23,-1.23,-2.43,-2.39,-2.38
399.73,-1.23,1.15,-1.19,1.20,-1.20,-2.43,-2.39,-2.38
403.72,-1.25,1.13,-1.21,1.18,-1.18,-2.42,-2.39,-2.38
407.76,-1.26,1.12,-1.24,1.15,-1.15,-2.41,-2.38,-2.38
411.84,-1.27,1.11,-1.26,1.12,-1.12,-2.39,-2.38,-2.37
415.96,-1.30,1.07,-1.28,1.09,-1.09,-2.39,-2.38,-2.37
420.12,-1.33,1.04,-1.31,1.07,-1.07,-2.40,-2.37,-2.37
424.32,-1.33,1.04,-1.33,1.04,-1.04,-2.37,-2.37,-2.37
428.56,-1.34,1.02,-1.34,1.02,-1.02,-2.36,-2.36,-2.36
432.85,-1.34,1.02,-1.36,1.00,-1.00,-2.33,-2.36,-2.36
437.18,-1.35,1.00,-1.38,0.97,-0.97,-2.32,-2.35,-2.35
441.55,-1.37,0.97,-1.39,0.95,-0.95,-2.31,-2.34,-2.34
445.96,-1.40,0.94,-1.41,0.92,-0.92,-2.32,-2.33,-2.33
450.42,-1.42,0.91,-1.43,0.89,-0.89,-2.31,-2.32,-2.32
454.93,-1.46,0.86,-1.45,0.87,-0.87,-2.32,-2.31,-2.31
459.48,-1.50,0.81,-1.47,0.84,-0.84,-2.34,-2.31,-2.30
464.07,-1.52,0.78,-1.49,0.81,-0.81,-2.33,-2.31,-2.30
468.71,-1.52,0.78,-1.52,0.79,-0.79,-2.31,-2.31,-2.29
473.40,-1.52,0.77,-1.55,0.76,-0.76,-2.28,-2.31,-2.29
478.13,-1.54,0.75,-1.57,0.74,-0.74,-2.28,-2.32,-2.29
482.91,-1.56,0.74,-1.59,0.72,-0.72,-2.28,-2.32,-2.29
487.74,-1.58,0.72,-1.61,0.71,-0.71,-2.29,-2.32,-2.30
492.62,-1.62,0.69,-1.62,0.70,-0.70,-2.32,-2.32,-2.31
497.55,-1.65,0.66,-1.62,0.70,-0.70,-2.34,-2.32,-2.31
502.52,-1.68,0.64,-1.62,0.69,-0.69,-2.37,-2.32,-2.32
507.55,-1.69,0.63,-1.62,0.70,-0.70,-2.38,-2.31,-2.32
512.62,-1.66,0.66,-1.60,0.70,-0.70,-2.36,-2.31,-2.32
517.75,-1.62,0.69,-1.59,0.71,-0.71,-2.33,-2.30,-2.31
